"BALCHRYSTIE, COLINSBURGH, FIFESHIRE",,,,,,,,,,,,,,,,,,,,
Grid ref,NO 460 030,Long,-2.871457,Lat,56.216941,Elevation,108,ft,,,,,,,,,,,,
Station no,5486,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,1.6,3.6,2.5,2.1,2.4,3,1.5,1.8,4.5,2.4,4.8,,,,,,,,
February,,3.4,1.7,2.2,2.6,2.3,1.2,0.7,7.3,0.8,3,1,,,,,,,,
March,,1.6,3.4,1,3.1,2.4,1.3,0.8,3.3,1.4,0.3,4.1,,,,,,,,
April,,1.2,0.1,3,0.9,1.1,3,1.4,2.1,1.4,1.9,2.4,,,,,,,,
May,,1.8,2.5,3.6,0.4,2,2.6,4.2,0.7,2.5,2.1,0.3,,,,,,,,
June,,2,1.7,1.6,3.5,3.7,3.7,1.8,5.6,1.5,1,2.3,,,,,,,,
July,,2.4,2.15,4.45,2.4,2.6,5.1,2.2,2.6,3,1.6,2.7,,,,,,,,
August,,4.9,2,2.8,1.6,4.4,3.5,0.6,2.9,2.5,3,3,,,,,,,,
September,,2.4,1.9,0.9,3.2,3.5,4.7,1,1.2,1.1,2.1,1.8,,,,,,,,
October,,6.2,1,5.7,1.2,5.1,5.5,3.8,4.8,1.9,1.6,2,,,,,,,,
November,,3.2,2.8,3,4.5,2.7,2,2.3,3,2.3,3.5,0.8,,,,,,,,
December,,2,2.5,0.5,1.7,1.8,0.8,5,2.4,2.5,2.4,0.8,,,,,,,,
Total,,32.7,25.35,31.25,27.2,34,36.4,25.3,37.7,25.4,24.9,26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Approx 1 mile from Balcarres,,,,,,,,,,,,,,,,,,,,
