"COLINSBURGH, BALCHRYSTIE",,,,,,,,,,,
Grid ref,NO459030,Long,-2.873893,Lat,56.216484,Elevation,,ft,,,
Station no,RR1450,,,,,,,,,,
,,,,,,,,,,,
,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.65,1.54,1.02,,,,,,,,
February,1.25,2.43,1.15,,,,,,,,
March,4.68,1.08,1.38,,,,,,,,
April,3.63,2.02,0.94,,,,,,,,
May,1.92,1.26,0.66,,,,,,,,
June,1.6,1.16,1.59,,,,,,,,
July,4.46,2.68,1.54,,,,,,,,
August,2.58,7.58,0.96,,,,,,,,
September,1.38,1.23,1.18,,,,,,,,
October,3.64,2.44,2.28,,,,,,,,
November,1.39,3.33,4.32,,,,,,,,
December,3.42,1.85,3.07,,,,,,,,
Total,32.6,28.6,20.09,,,,,,,,
