WEOBLEY (GARNSTONE),,,,,,,,,,,,
Grid ref,SO401501,Long,-2.876783,Lat,52.145925,,,,,,,
Station no,2236/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,2.60,0.59,2.44,3.56,4.39,1.25,1.93,4.39,,,
February,2.96,0.59,1.69,2.47,1.57,0.40,2.69,4.39,0.43,,,
March,4.63,2.23,1.35,2.71,2.64,0.98,1.77,1.47,2.33,,,
April,2.19,1.86,2.79,0.37,0.87,2.03,0.05,0.33,3.01,,,
May,3.63,3.57,1.99,2.14,4.74,0.41,1.74,2.39,2.34,,,
June,0.59,2.11,1.81,4.26,4.82,2.26,1.54,3.44,3.42,,,
July,1.29,1.37,2.41,1.51,0.99,5.23,2.05,4.96,0.93,,,
August,3.46,4.95,2.99,4.70,0.69,4.21,4.43,3.06,1.17,,,
September,2.81,2.35,3.12,1.90,1.22,3.29,5.13,6.00,0.20,,,
October,0.72,3.91,2.13,3.62,1.93,1.74,1.21,2.72,3.17,,,
November,6.86,3.34,1.60,7.18,3.91,0.83,2.54,2.73,4.17,,,
December,2.32,2.75,1.39,2.47,3.78,2.82,2.71,3.08,6.57,,,
Total,33.69,31.63,23.86,35.77,30.72,28.59,27.11,36.50,32.13,,,
Calc annual,33.69,31.63,23.86,35.77,30.72,28.59,27.11,36.50,32.13,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
