WEOBLEY (GARNSTONE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO401501,Long,-2.876783,Lat,52.145925,Elevation,442,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2236/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.7,4.17,2.91,5.36,3.63,5.35,3.1,5.73,1.95,2.25,2.89,2.42,5.47,0.97,0.42,2.23,2.6,0.59,2.44,3.56,4.39,1.25,1.93,4.39,
February,,,,,,2.21,4.67,0.59,1.75,2.55,2.8,0.38,1.32,0.65,1.85,2.52,2.48,1.36,1.05,4.87,2.96,0.59,1.69,2.47,1.57,0.4,2.69,4.39,0.43,
March,,,,,,2.65,2.65,0.01,1.01,1.51,2.67,2.58,0.97,0.33,0.75,0.87,7.33,1.23,1.37,1.12,4.63,2.23,1.35,2.71,2.64,0.98,1.77,1.47,2.33,
April,,,,,,2.45,1.97,0.18,1.96,2.43,1.26,1.31,1.01,1.81,1.11,2.33,2.28,1.9,2.08,1.55,2.19,1.86,2.79,0.37,0.87,2.03,0.05,0.33,3.01,
May,,,,,,1.09,1.89,2.17,0.6,2.11,2.35,3.19,2.44,0.73,3.25,3.38,2.53,2.94,2.34,1.54,3.63,3.57,1.99,2.14,4.74,0.41,1.74,2.39,2.34,
June,,,,,,5.71,0.73,1.41,1.84,0.75,2.36,0.27,2.28,1.59,3.63,1.94,1.87,2.01,0.54,1.28,0.59,2.11,1.81,4.26,4.82,2.26,1.54,3.44,3.42,
July,,,,,,4.22,3.18,2.59,5.25,3.4,2.64,1.48,1.39,1.5,2.88,2.43,2.4,1.22,1.03,3.27,1.29,1.37,2.41,1.51,0.99,5.23,2.05,4.96,0.93,
August,,,,,1.23,0.28,1.04,2.66,1.6,0.14,3.7,2.86,1.79,4.02,5.12,7.42,0.7,3.95,1,3.26,3.46,4.95,2.99,4.7,0.69,4.21,4.43,3.06,1.17,
September,,,,,3.14,2.88,1.69,1.81,0.7,0.69,1.16,1.87,2.58,2.38,1.78,4.47,1.23,2.19,4.27,3.32,2.81,2.35,3.12,1.9,1.22,3.29,5.13,6,0.2,
October,,,,,3.12,1.57,4.29,3.41,3.66,3.96,1.61,1.88,3.1,4.23,4.43,1.39,0.62,2.38,6.45,1.51,0.72,3.91,2.13,3.62,1.93,1.74,1.21,2.72,3.17,
November,,,,,5.52,2.81,1.48,3.92,5.48,7.33,2.4,0.73,2.22,4.4,0.6,5.22,2.56,1.57,3.89,4.35,6.86,3.34,1.6,7.18,3.91,0.83,2.54,2.73,4.17,
December,,,,,3.33,2.76,2.09,3.79,1.39,1.58,1.74,4.3,1.38,1.74,3.91,2.14,2.55,4.61,1.96,1.74,2.32,2.75,1.39,2.47,3.78,2.82,2.71,3.08,6.57,
Total,,,,,,33.33,29.85,25.45,30.6,30.08,30.04,23.95,26.21,25.33,31.56,37,28.97,30.83,26.95,28.23,33.69,31.63,23.86,35.77,30.72,28.59,27.11,36.5,32.13,
