ROTHBURY (CEMETERY),,,,,,,,,,
Grid ref,NU055014,Long,-1.914907,Lat,55.306664,Elevation,300,ft,,
Station no,3590/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1,4.12,3.6,5.26,3.26,3.41,1.82,4.83
February,,,2.51,3.43,3.7,4.63,4.12,3.5,0.42,3.8
March,,1.99,0.36,2,2.94,0.96,2.19,4.79,0.78,2.25
April,,1.35,3.22,0.62,0.57,1.16,0.37,2.69,2.34,0.93
May,,1.73,2.24,4.36,2.19,0.44,1.83,3.27,0.59,3.06
June,,1.5,2.95,1.09,1.06,2.09,1.39,3.77,2.19,1.5
July,,1.09,2.62,3.28,1.68,2.33,3.11,3.84,2.49,4.33
August,,2.66,2.19,6.19,0.72,9.04,5.78,2.84,0.28,2.62
September,,4.13,2.87,3.1,1.18,2.66,2.86,2.22,0.84,1.91
October,,3.49,1.61,5,2.32,1.76,1.64,2.27,2.95,8.22
November,,4.25,1.87,4.3,1.69,0.84,2.09,0.68,5.55,3.58
December,,5.04,1.28,2.44,4.64,2.73,2.12,5.64,4.96,2.46
Total,,,24.72,39.93,26.29,33.9,30.76,38.92,25.21,39.49
,,,,,,,,,,
1659,ROTHBURY CEMETERY ,1952-2004,,,,,,,,
