LONG-ASHTON-SCHOOL-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST547706,Long,-2.65189,Lat,51.43262,Elevation,161,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1992/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.97,5.35,2.87,3.99,3.24,6.02,1.64,1.67,,3.25,5.97,1.1,1.42,4.44,3.57,1.16,2.95,3.93,4.45,3.24,3.04,4.24,
February,,,,,,,,1.06,2.23,2.55,3.65,0.27,1.54,0.4,2.69,,1.27,1.96,1.37,5.52,4.39,0.82,1.95,3.85,2.14,0.37,3.67,4.29,0.37,
March,,,,,,,,0.44,1.88,2.65,3.36,1.9,1.14,0.18,0.47,,5.92,1.6,1.5,1.27,4.29,3.29,0.94,3.47,1.26,0.91,3.13,1.25,2.8,
April,,,,,,,,0.26,3.5,2.64,1.43,1.33,1.15,2.35,0.6,,2.25,2.16,2.13,2.83,3.98,2.09,4.2,0.86,1.41,1.73,0.11,1.32,3.09,
May,,,,,,,,2.18,0.98,2.69,1.68,5.77,2.37,0.52,2.15,,1.88,3.91,3.74,2.77,3.07,3.96,2.12,2.19,4.04,0.53,1.78,3.76,1.98,
June,,,,,,,,1.59,2.27,1.03,2.2,0.55,1.8,2.13,3.1,,1.67,2.67,0.59,2.56,0.68,3.42,2.97,4.7,2.76,2.6,1.9,3.75,1.89,
July,,,,,,,,4.65,4.24,7.33,2.55,2.71,1.63,2.07,1.9,,2.95,2.14,1.65,4.47,1.43,0.73,4.68,4.43,0.17,4.49,4.48,2.26,1.99,
August,,,,,,,,3.35,3.08,0.1,5.4,4.73,3.78,3.08,2.58,,0.66,4.78,2.42,8.59,5.08,6.85,5.58,3.58,,8.13,3.11,3.16,1.38,
September,,,,,,,,2.43,1.09,2.03,0.56,1.98,2.58,3.36,2.23,,1.99,2.71,2.38,6.16,2.9,3.61,3.68,6.18,1.43,3.19,4.71,5.63,0.21,
October,,,,,,,,4.04,2.7,4.13,2.12,4.24,2.67,4.29,3.49,,0.72,3.76,7.44,1.91,0.54,5.03,2.7,4.37,1.35,1.62,3.7,3.48,3.59,
November,,,,,,,,4.3,6.79,7.39,1.54,1.5,1.94,5.66,0.43,,2.75,1.94,3.59,5.31,7.1,4.8,2.04,6.75,3.92,1.15,2.47,2.7,4.38,
December,,,,,,,,3.73,2.24,1.96,2.35,3.81,2.16,2.28,5.26,,3.3,5.1,2.37,2.27,2.48,2.68,1.19,2.98,3.97,4.22,2.7,3.85,7.19,
Total,,,,,,,,33,36.35,37.37,30.83,32.03,28.78,27.96,26.57,,28.61,38.7,30.28,45.08,40.38,40.85,33.21,46.31,,33.39,35,38.49,33.11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan 1 Gauge moved 5yds E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Not printed Low Gauge very old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 New gauge obtained late in year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Apr 3 Inspection Gauge sound Measure flat-bottomed Site o/s SW Recommended new gauge Move gauge to better site 40ft E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Aug Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Mar Gauge moved 20yds N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
