MELROSE DRYGRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT576356,Long,-2.674659,Lat,55.61214,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.71,2.03,0.81,1.74,2.58,2.22,1.47,2.45,3.15,2.95,2.95,2.31,4.01,2.41,1.64,1.82,1.78,2.44,2.47,4.2,1.07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.61,2.4,1.67,2.21,1.25,2.13,2.4,3.5,0.64,2.36,1.67,2.3,0.17,2.51,3.39,0.92,4.53,2.95,0.87,2.18,1.41,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,4.82,1.1,2.38,2.15,3.23,2.71,1.88,3.2,1.15,0.79,1.9,3.25,2.3,1.61,0.93,0.62,1.55,1.36,2.19,3.45,0.12,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.16,2.4,1.73,0.17,3.04,0.8,0.57,2.39,2.28,0.7,1.26,2.1,0.42,2.22,2.2,1.01,2.18,1.78,1.49,0.85,1.46,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.61,1.4,0.75,0.98,2.7,1.5,1.34,3.53,1.99,2.06,1,2.74,1.35,0.57,1.63,3.4,4.8,2.07,2.08,1.34,0.9,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.57,1.5,2.45,5.61,1.9,2.16,1.2,1.52,1.46,0.3,0.65,0.95,0.53,1.92,0.82,1.31,0.41,2.78,2.44,4.1,1.84,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2,3.86,0.75,1.49,0.44,1.38,2.53,3.65,1.74,3.13,0.84,2.78,2.84,3.23,1.76,4.14,1.53,2.2,3.29,1.39,3.52,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.56,4.91,1.02,5,1.28,1.95,3.64,4.03,6.06,1.88,2.33,3.15,4.74,2.3,4.53,2.49,3.14,2.81,6.55,4.43,3.96,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.01,0.59,1.02,2.21,1.81,1.04,1.56,1.77,1.46,5.21,1.51,1.27,1.51,2.01,1.6,3.34,4.31,3.65,5.24,1.13,0.1,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.58,2.27,2.42,3.07,2.63,1.46,1.77,4.25,3.56,3.31,2.57,1.6,2.81,2.54,2.35,2.7,2.5,3.36,2.48,4.5,2.45,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,0.42,2.94,3.79,1.41,1.72,3.63,1.84,4.19,2.07,1.17,4.35,1.46,1.26,0.65,2.88,0.93,1.22,3.51,1.86,3.31,2.86,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,3.11,1.88,4.06,2.52,1.6,5.26,5.54,2.53,1.77,1.73,4.03,3.15,2.4,2.12,2.34,3.54,2.96,0.3,1.3,1.8,3.73,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,27.16,27.28,22.85,28.56,24.18,26.24,25.74,37.01,27.33,25.59,25.06,27.06,24.34,24.09,26.07,26.22,30.91,29.21,32.26,32.68,23.42,28.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Feb mis transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
