FORMBY INCE BLUNDELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD322032,Long,-3.02409,Lat,53.5211,Elevation,36,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2806/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.97,1.79,2.78,3.65,5.24,1.55,4.49,2.95,3.05,1.97,2.15,1.55,4.46,2.31,3.03,4.93,2.91,1.81,4.01,3.81,4.18,2.16,4.38,2.7,6.71,2.8,1.48,3.06,3.82,1.49,3.04,2.94,4.16,2.23,2.98,3.52,5.31
February,,,,,0.58,5.17,2.79,1.48,2.95,0.82,0.52,2.91,0.05,3.04,0.17,2.72,2.47,4.6,0.94,2.47,2.54,3.65,1.6,1.73,1.52,3.27,4.89,0.96,2.05,1.46,4.59,2.71,0.99,1.36,3.82,2.65,0.4,2.28,4.98,0.34,2.51
March,,,,,1.17,0.87,0.63,2.83,1.84,1.16,2.93,0.64,2.14,2.01,1.52,0.84,1.85,1.79,1.21,1.65,2.19,2.99,2.73,0.66,0.81,1.02,0.96,5.04,1.28,2.59,1.4,4.88,1.9,1.18,2.55,1.93,1.37,2.38,1.67,1.56,1.95
April,,,,,1.86,1.86,1.38,1.69,0.79,0.8,3.06,2.3,2.89,1.22,1.85,2.21,0.95,2.81,0.21,2.17,1.78,1.79,1.68,1.71,2.5,2.02,1.1,3.01,1.45,2.94,2.89,1.49,2.46,2.44,1.26,1.77,2.43,0.41,0.99,2.91,1.53
May,,,,,3.7,4.3,3.17,0.72,1.79,1.76,1,2.46,4.21,1.63,2.35,1.64,0.89,2.49,3.17,1.42,3.05,2.09,3.6,2.85,1.91,4.18,2.17,4.24,1.82,3.02,0.88,3.41,2.74,2.19,2.97,3.13,1.25,1.72,3.62,1.93,2.74
June,,,,,4.56,0.09,1.63,3.38,4.47,1.45,1.62,5.25,0.72,1.78,1.87,3.09,3.35,1.82,3.66,2.94,0.82,0.55,0.38,2.79,1.92,2.92,3.93,2.66,4.5,0.79,1.76,1.06,2,1.8,3.2,3.6,1.65,1.44,3.9,3.28,1.05
July,,,,,4.49,3.12,4.14,4.27,1.47,2.54,3.99,2.77,4.75,1.68,0.95,1.78,3.86,1.7,3.05,5.81,4.5,1.86,3.14,4.9,3.28,2.69,4.92,3.43,3.25,2.15,2.64,1.82,1.61,2.59,4.47,0.98,4.45,4.03,4.24,3.88,4.2
August,,,,,5.58,2.58,3.32,4.75,4,4.57,6.64,5.53,1.71,1.46,2.79,2.53,1.48,2.18,4.6,1.56,1.08,3.92,5.56,4.38,2.95,1.69,6.01,0.31,3.86,2.25,6.11,5.34,3.31,3.74,4.67,1.38,11.85,4.4,4.14,0.8,5.4
September,,,,,4.37,4.51,4.53,4.22,1.06,1.66,2.67,3.1,4.12,1.11,2.56,5.84,3.47,1.98,2.04,0.96,2.9,1.04,2.65,3.65,5.72,2.09,4.75,3.47,2.65,1.03,6.02,2.98,4.54,4.41,4.24,2.5,2.88,5.72,3.92,0.44,3.21
October,,,,,4.63,3.74,3.94,2.64,3.53,5.05,4.26,2.29,6.71,3.3,3.84,4.9,2.15,2.58,6.57,2.41,4.57,4.45,2.81,5,3.96,4.24,0.79,0.89,2.86,4.53,2.89,0.99,3.96,1.76,6.95,2.57,2.12,3.83,3.32,3.21,3.84
November,,,,,2.18,2.89,4.81,4.63,4.86,5.15,5.74,5.6,2.11,1.61,2.58,3.4,4.06,1.82,4.22,4.66,5.85,2.16,0.92,2.36,6,0.29,5.03,3.59,2.5,5.39,4.88,8.33,2.84,4.4,7.26,1.54,2.13,1.31,1.99,5.39,6.33
December,,,,,4.52,2.32,1.08,1.13,2.62,5.1,3.96,1.42,1.86,0.74,3.92,3.18,3.21,1.83,3.98,3.93,2.9,1.11,3.42,1.83,2.68,2.83,3.72,2.35,3.58,5.33,3.83,6.04,3.98,1.93,3.87,4,2.87,3.13,3.72,5.64,3.87
Total,,,,,40.61,33.24,34.2,35.39,34.62,31.61,40.88,37.22,34.32,21.55,26.55,33.68,32.2,27.91,36.68,34.91,35.09,27.42,32.5,35.67,37.43,29.4,42.65,32.65,36.51,34.28,39.37,42.11,34.15,29.29,48.3,28.99,37.56,32.88,39.47,32.9,41.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrected 1927 total to 35.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
