"LINCOLN - REDCOTE, SWALLOWBECK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK948680,Long,-0.582,Lat,53.201,Elevation,34,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955
January,,1.83,1.65,2.57,1.66,3.74,1.64,2.61,2.50,1.05,1.82,1.86,1.66,3.43,3.08,1.95,3.98,1.87,3.24,2.53,3.53,2.35,2.00,1.45,2.13,3.58,1.09,1.08,2.03,1.38,0.86,0.88,1.90
February,,0.92,1.84,1.39,1.45,1.36,0.73,0.62,2.05,0.58,2.91,0.84,2.48,2.29,2.07,1.21,0.68,2.36,2.93,1.24,0.41,2.61,1.61,1.96,2.37,0.80,0.41,3.98,3.02,0.37,1.61,2.53,2.69
March,,0.97,0.91,0.69,1.74,1.77,0.35,2.53,0.27,1.29,2.61,1.65,0.47,1.01,1.54,0.23,1.56,1.49,3.24,1.50,0.45,0.35,0.73,1.07,4.07,0.35,1.10,0.78,3.20,2.52,1.00,1.65,2.51
April,,1.52,1.46,1.83,1.70,0.83,0.72,3.26,3.12,1.82,0.86,2.58,2.53,1.45,2.57,0.08,1.48,1.49,0.90,1.02,1.08,1.96,1.45,1.96,1.60,1.39,1.89,2.41,1.28,1.05,1.91,0.16,0.97
May,,2.52,2.98,1.81,0.90,1.24,0.95,1.42,2.44,4.05,1.56,1.01,0.33,0.45,3.01,3.17,1.04,0.70,1.65,3.19,2.34,1.52,1.73,1.49,0.67,1.84,1.71,1.97,3.34,1.80,2.51,3.07,2.89
June,1.04,1.34,0.12,3.34,2.81,1.61,1.72,1.42,3.02,0.62,1.69,0.74,2.51,3.38,1.45,0.96,2.90,0.69,0.25,1.37,1.33,1.88,2.40,2.21,2.37,3.31,1.16,1.23,0.88,2.13,1.70,2.45,
July,3.32,1.85,0.77,1.48,2.27,0.98,0.88,3.86,3.66,3.80,1.66,2.35,0.25,5.82,3.64,3.30,3.38,4.41,3.66,1.79,0.83,1.83,1.44,1.98,1.31,1.24,2.30,2.40,1.10,0.30,2.03,1.60,
August,3.18,3.18,2.19,2.33,3.69,3.41,2.15,2.15,4.07,1.35,0.53,2.25,1.14,0.80,0.56,1.58,2.35,0.82,3.70,2.22,1.79,3.18,2.66,3.50,0.12,2.49,2.09,2.18,5.27,1.71,2.05,3.42,
September,2.48,2.34,2.50,1.16,3.87,0.33,0.41,3.54,3.05,1.47,1.69,1.16,4.25,1.88,0.68,2.08,0.71,0.84,0.53,1.24,2.91,2.99,1.07,2.79,0.91,1.96,1.92,3.32,0.77,1.91,1.24,2.20,
October,1.70,4.31,2.29,1.78,1.62,3.43,2.48,1.91,0.60,3.17,3.37,0.84,2.13,2.05,1.92,1.98,3.28,3.13,3.19,1.79,1.48,2.67,2.63,1.14,0.26,1.54,3.29,0.60,1.64,2.54,1.98,3.03,
November,2.04,1.18,2.65,2.46,2.58,2.64,4.26,2.76,2.53,1.54,2.06,1.77,3.94,2.28,1.28,2.55,3.72,4.25,2.85,2.16,1.77,3.88,0.58,4.41,1.22,1.05,2.49,4.34,4.81,2.04,1.41,4.31,
December,2.66,2.19,1.55,0.75,2.48,1.77,3.51,2.03,1.37,0.91,0.42,4.14,2.69,1.39,2.46,3.86,1.48,1.90,0.47,1.98,0.64,1.18,1.15,2.81,1.92,2.84,1.44,1.53,1.36,1.69,1.00,2.90,
Total,,24.15,20.91,21.59,26.77,23.11,19.80,28.11,28.68,21.65,21.18,21.19,24.38,26.23,24.26,22.95,26.56,23.95,26.61,22.03,18.56,26.40,19.45,26.77,18.95,22.39,20.89,25.82,28.70,19.44,19.30,28.20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1920s sheet identifies the location as the property called Redcote.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to Brant Road in the summer of 1955.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1950s rainfall sheet is shared with Brant Road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for June and July 1955 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
