(CRAMOND BRIDGE) CRAIGIEHALL,,,,,,,,,,,,,,,,,,,,
Grid ref,NT166754,Long,-3.337581,Lat,55.964339,Elevation,110,ft,,,,,,,,,,,,
Station no,RR7370,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.66,1.2,3.06,2.55,2.75,0.93,1.38,,,,,,,
February,,,,,,,1.22,1.91,1.07,1.12,2.63,2.74,2.07,,,,,,,
March,,,,,,2.64,2.67,2.55,3.1,3.82,0.87,1.9,2.38,,,,,,,
April,,,,,,1.83,0.84,1.45,1.58,2.81,3.45,1.23,0.32,,,,,,,
May,,,,,,1.02,5.9,3.4,1.85,2.46,1.75,1.15,1.18,,,,,,,
June,,,,,,0.45,1.82,3,1.07,1.98,1.2,2,3.95,,,,,,,
July,,,,,,2.45,1.5,3.3,3.23,2.81,3.74,1.39,2.13,,,,,,,
August,,,,,,3.78,5.35,3.63,2.04,1.78,4.19,1.16,5.13,,,,,,,
September,,,,,,2.37,0.56,1.37,2.7,2.11,0.7,1.17,,,,,,,,
October,,,,,,2.7,6.07,9.22,1.05,3.83,2.13,2.66,,,,,,,,
November,,,,,,4.45,3.98,1.33,1.94,1.04,2.63,4.35,,,,,,,,
December,,,,,,2.23,1.64,3.36,0.66,3.37,1.6,2.18,,,,,,,,
Total,,,,,,,35.21,35.72,23.35,29.68,27.64,22.86,,,,,,,,
