(CRAMOND BRIDGE) CRAIGIEHALL,,,,,,,,,,,,
Grid ref,NT166754,Long,-3.337581,Lat,55.964339,,,,,,,
Station no,RR7370,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.66,1.20,3.06,2.55,,
February,,,,,,,1.22,1.91,1.07,1.12,,
March,,,,,,2.64,2.67,2.55,3.10,3.82,,
April,,,,,,1.83,0.84,1.45,1.58,2.81,,
May,,,,,,1.02,5.90,3.40,1.85,2.46,,
June,,,,,,0.45,1.82,3.00,1.07,1.98,,
July,,,,,,2.45,1.50,3.30,3.23,2.81,,
August,,,,,,3.78,5.35,3.63,2.04,1.78,,
September,,,,,,2.37,0.56,1.37,2.70,2.11,,
October,,,,,,2.70,6.07,9.22,1.05,3.83,,
November,,,,,,4.45,3.98,1.33,1.94,1.04,,
December,,,,,,2.23,1.64,3.36,0.66,3.37,,
Total,,,,,,,35.21,35.72,23.35,29.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.92,35.21,35.72,23.35,29.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
