CLEVEDON-GAS-WORKS,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST410709,Long,-2.8495,Lat,51.43426,Elevation,22,ft,,,,,,,,,,,,,
Station no,2045,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.22,2.83,1.9,4.58,2.65,4.81,3.16,5.11,0.94,4.29,,3.35,2.15,2.17,0.67,3.44,3.15,4.61,5.05,
February,,0.14,3.53,5.83,0.34,3.86,1.73,2.81,2.18,0.57,0.31,,0.04,4.13,0.43,2.68,2,5.94,0.96,1.86,
March,,2.09,3.35,1.33,1.62,0.28,0.31,2.4,2.72,0.56,1.83,,2.14,2.88,1.83,0.59,2.94,3.13,0.53,1.27,
April,,0.71,2.79,2.26,2.48,1.69,2.65,1.11,0.97,0.76,2.23,,2.34,1.3,2.16,4.35,2.51,2.42,0.14,2.82,
May,,2.21,0.89,1.71,4.57,4.21,1.95,1.3,0.7,2.2,0.97,2.82,5.72,2.07,1.62,0.91,1.41,2,2.21,0.8,
June,,0.17,1.28,0.61,2.59,0,1.64,2.78,2.56,1.9,0.67,3.78,1.08,1.15,0.98,3.44,2.79,1.14,0.94,1.99,
July,,0.59,4.12,2.33,5.41,3.91,1.84,4.25,2.68,1.42,2.41,3.35,4.26,1.89,0.53,1.07,5.3,3.77,2.53,4.83,
August,,3.75,4.33,4.11,5.82,3.71,2.93,3.54,2.77,3.9,3.64,3.7,1.71,1.42,3.15,2.11,0.66,0.8,3.88,3.19,
September,,4.43,2.28,3.29,4.58,3.69,1.57,5.3,0.95,0.46,2.77,1.87,5.08,2.13,2.79,7.89,3.23,1.55,1.67,1,
October,,1.72,1.28,4.74,5.26,3.96,4.08,2.43,5.13,6.32,2.71,0.92,6.93,3.43,2.04,6.03,1.78,3.64,6.72,2.49,
November,,2.14,1.63,2.88,3.11,1.58,5.9,2.81,3.14,8.32,3.21,3.62,1.71,0.71,1.5,5.9,3.93,1.9,4.58,6.63,
December,,2.21,4.73,2.99,4.71,3.82,0.29,2.67,2.85,5.84,2.56,1.87,1.84,1.68,7.83,3.68,3.03,1.59,3.5,2.06,
Total,,23.38,33.04,33.98,45.07,33.36,29.7,34.56,31.76,33.19,27.6,,36.2,24.94,27.03,39.32,33.02,31.03,32.27,33.99,
,,,,,,,,,,,,,,,,,,,,,
1920 Dec 31 Gauge moved from WW 320 yds S,,,,,,,,,,,,,,,,,,,,,
1931 Apr 29 Funnel leaking Repaired Glass bottle used - Jan to Apr removed,,,,,,,,,,,,,,,,,,,,,
1931 Not printed Low,,,,,,,,,,,,,,,,,,,,,
