BURY-ROVERS-COTTAGES (HOUGHTON),,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ020116,Long,-0.55103519,Lat,50.894884,Elevation,60,ft,,,,,,,,,,,,,
Station no,447/8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,2.93,3.33,2.89,3.3,0.62,,,,,
February,,,,,,,,,,,,2.83,0.22,3.28,0.16,4.37,,,,,
March,,,,,,,,,,,,0.88,1.61,2.95,2.92,0.71,,,,,
April,,,,,,,,,,,,3.53,3.34,1.06,4.22,4.44,,,,,
May,,,,,,,,,,,,3.15,3.89,2.72,0.69,,,,,,
June,,,,,,,,,,,,2.36,0.47,1.77,1.31,,,,,,
July,,,,,,,,,,,2.95,3.45,5.18,1.94,1.83,,,,,,
August,,,,,,,,,,,3.81,5.06,0.84,1.6,4.14,,,,,,
September,,,,,,,,,,,3.14,2.5,2.98,3.33,2.65,,,,,,
October,,,,,,,,,,,2.65,0.86,7.57,2.86,2.99,,,,,,
November,,,,,,,,,,,6.5,4.6,1.33,1.12,5.67,,,,,,
December,,,,,,,,,,,4.17,1.31,2.11,1.1,11.24,,,,,,
Total,,,,,,,,,,,,33.46,32.87,26.62,41.12,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1935 May Gauge moved,,,,,,,,,,,,,,,,,,,,,
