BURY-ROVERS-COTTAGES,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ011133,Long,-0.56335772,Lat,50.910325,Elevation,70,ft,,,,,,,,,,,,
Station no,447/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,6.31,7.28,5.32,6.23,3.16,3.82,4.01,7.3,3.41,1.84,3.69,4.42,7.61,1.95,1.76
February,,,,,,3.03,6.47,0.92,2.22,4.15,4.02,0.62,2.04,0.87,3.42,4.06,2.12,1.88,1.8,7.18
March,,,,,,2.61,4.3,0.85,1.91,4.33,3.96,3.66,0.74,0.21,1.74,1.9,8.59,1.2,1.7,2.42
April,,,,,,0.71,3.57,0.18,3.58,1.8,1.63,1.71,1.52,2.23,1.71,2.84,2.36,2.08,2.25,2.62
May,,,,,1.14,2.64,2.37,2.27,1.7,1.14,3.01,3.45,3.3,1.09,2.27,3.65,1.2,2.89,2.2,1.45
June,,,,,2.6,3.7,1.23,0.64,1.56,1.29,1.94,0.52,1.21,2.21,2.83,4.43,2.88,3.23,0.76,1.49
July,,,,,0.79,4.88,1.84,2.82,3.29,2.53,3.85,1.98,2.87,3.37,6.91,3.03,1.84,2.26,0.18,4.2
August,,,,,3.75,1.01,0.83,1.67,3.07,0.18,4.69,4.73,2.05,1.9,2.19,6.43,0.91,4.84,1.84,3.38
September,,,,,6.1,3.05,1.75,2.74,1.42,1.88,0.33,3.58,1.89,2.98,2.75,4.66,1.65,3.01,2.23,4.76
October,,,,,5.24,1.8,3.21,6.02,6.92,5.38,1.38,4.95,4.65,4.9,5.05,0.83,0.87,2.54,9.67,0.7
November,,,,,8.45,5.86,2.09,5.15,9.48,11.91,4.57,2.14,2.48,7.12,0.33,6.62,2.28,2.6,4.6,8.92
December,,,,,6.07,3.03,5.31,4.56,2.81,3.69,3.51,4.45,3.05,2.66,5.3,4.36,3.32,5,3.4,2.86
Total,,,,,,38.63,40.25,33.14,44.19,41.44,36.71,35.8,33.1,32.95,36.34,46.5,32.44,39.14,32.58,41.74
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1935 May Gauge moved,,,,,,,,,,,,,,,,,,,,
