TAUNTON-WEIR-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST221250,Long,-3.11181,Lat,51.01952,Elevation,60,ft,,,,,,,,,,,,
Station no,2070/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,6.03,2.28,4.2,3.31,6.53,1.73,2.22,,,,,
February,,,,,,,,,1.7,2.47,2.88,0.25,1.49,0.57,1.88,,,,,
March,,,,,,,,,1.44,2.56,3.79,2.28,1.2,0.28,0.67,,,,,
April,,,,,,,,,2.63,2.23,2.91,1.06,0.99,1.35,0.83,,,,,
May,,,,,,,,,1.07,2.64,1.57,5.8,2.91,1.46,3.99,,,,,
June,,,,,,,,,3.13,0.92,1.74,0.38,1.53,2.1,2.3,,,,,
July,,,,,,,,,3.94,2.87,1.56,1.4,2.86,1.57,1.98,,,,,
August,,,,,,,,,1.51,0.18,3.62,3.37,2.19,2.44,1.73,,,,,
September,,,,,,,,,1.36,1.61,1.18,1.92,3.14,2.36,3.37,,,,,
October,,,,,,,,,3.9,3.2,2.19,2.86,3.12,4.22,3.4,,,,,
November,,,,,,,,,5.8,7.4,2.89,1.15,2.36,5.79,1.79,,,,,
December,,,,,,,,,2.23,2.72,1.81,3.92,2.74,3.09,4.92,,,,,
Total,,,,,,,,,34.74,31.08,30.34,27.7,31.06,26.96,29.08,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation on sheet is 20ft but Taunton fairly flat and Weir House is around the lowest at 60ft,,,,,,,,,,,,,,,,,,,,
