BATH-SOMERSET-PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST744661,Long,-2.36874,Lat,51.39336,Elevation,350,ft,,,,,,,,,,,,
Station no,RR7655,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.68,1.27,1.58,1.21,3.46,1.07,4.73,4.58,0.86,4.19,1.9,,,
February,,,,,,,2.24,1.53,1.44,0.69,4.08,2.32,1.81,1.42,3.13,5.74,5.19,,,
March,,,,,,,2.05,0.99,2.98,3.32,0.89,2.84,6.07,3.09,4.42,1.08,4.45,,,
April,,,,,,,1.3,3.91,3.08,2.38,3.29,1.49,0.31,3.2,1.66,1.29,1.17,,,
May,,,,,,,2.18,3.28,1.41,1.63,1.68,0.84,1.8,2.81,1.52,2.98,2.71,,,
June,,,,,,,2.73,3.07,0.72,3.16,6.27,1.92,3.28,0.85,2.36,1.82,2.42,,,
July,,,,,,,1.27,6.11,2.64,2.46,2.07,0.03,4.09,0.64,3.24,4.26,1.22,,,
August,,,,,,,2.43,2.44,4.26,3.13,5.23,1.34,5.49,2.23,2.52,2.82,4.36,,,
September,,,,,,,1.02,0.59,2.88,2.95,0.23,1.29,0.89,3.73,1.47,2.09,1.34,,,
October,,,,,,,5.27,5.78,1.81,4.83,5.09,3.4,,3.26,2.58,4.49,5.63,,,
November,,,,,,,3.46,2.39,1.1,1.21,4.34,4.37,1.88,3.04,3.95,2.31,4.23,,,
December,,,,,,,2.09,5.02,2.81,4.34,5.14,7.39,4.73,2.05,7.01,5.72,4.39,,,
Total,,,,,,,30.72,36.38,26.71,31.31,41.77,28.3,,30.9,34.72,38.79,39.01,,,
,,,,,,,,,,,,,,,,,,,,
16 Somerset Place,,,,,,,,,,,,,,,,,,,,
1912 Oct Marked as estimated,,,,,,,,,,,,,,,,,,,,
