BATH SOMERSET PLACE,,,,,,,,,,,,
Grid ref,ST744661,Long,-2.369328,Lat,51.393355,,,,,,,
Station no,RR7655,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.68,1.27,1.58,1.21,,
February,,,,,,,2.24,1.53,1.44,0.69,,
March,,,,,,,2.05,0.99,2.98,3.32,,
April,,,,,,,1.30,3.91,3.08,2.38,,
May,,,,,,,2.18,3.28,1.41,1.63,,
June,,,,,,,2.73,3.07,0.72,3.16,,
July,,,,,,,1.27,6.11,2.64,2.46,,
August,,,,,,,2.43,2.44,4.26,3.13,,
September,,,,,,,1.02,0.59,2.88,2.95,,
October,,,,,,,5.27,5.78,1.81,4.83,,
November,,,,,,,3.46,2.39,1.10,1.21,,
December,,,,,,,2.09,5.02,2.81,4.34,,
Total,,,,,,,30.72,36.38,26.71,31.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,30.72,36.38,26.71,31.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
