TREORCHY-PUMPING-STATION (NEW GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS9631396459,Long,-3.5003343,Lat,51.657321,Elevation,515,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4077/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,14.03,6.16,6.28,10.69,15.46,11.66,6.95,13.9,8.15,22.03,4.26,3.74,12.91,11.36,2.91,6.05,8.1,12.34,15.26,9.94,11.66,11.22
February,,,,,,,,,8.98,9.61,9.08,0.83,6.73,2.53,11.8,10.55,1.83,6.3,5.35,16.28,10.29,2.21,4.16,10.81,4.29,0.88,10.93,11.7,0.68,9.71
March,,,,,,,,,3.81,7.61,5.55,6.47,2.1,0.76,5.27,3.45,14.1,5.84,3.7,6.73,9.44,7.01,6.41,8.51,4.54,4.53,11.3,1.89,8.24,4.04
April,,,,,,,,0.29,6.82,5.86,2.39,4.24,2.22,5.67,4.94,2.13,7.71,3.83,7.46,6.53,8.13,6.58,6.59,2.62,5.35,2.26,0.5,2.24,6.81,6.33
May,,,,,,,,8.07,1.23,2.34,5.19,11.09,8.69,3.54,5.27,4.43,3.08,5.57,8.27,2.29,3.74,5.56,5.97,5.69,9.24,2.7,4.12,7.73,2.43,2.29
June,,,,,,,,5.32,5.53,0.77,1.83,0.43,7.17,5.32,8.14,8.47,3.59,10.12,1.37,3.89,3.11,4.88,4.5,9.47,10.4,5.76,1.46,5.66,3.98,5.16
July,,,,,,,,5.7,18.77,7.39,3.86,6.32,6.83,5.37,6.23,4.63,4.66,3.4,2.67,11.19,2.33,3.99,10.65,7.53,2.36,7.49,8.62,7.47,6.88,11.1
August,,,,,,,,5.88,5.69,0.48,10.82,9.21,9.21,6.75,3.95,12.1,0.65,10.36,5.64,15.62,11.84,10.28,8.29,9.91,2.03,10.56,6.71,7.83,2.15,9
September,,,,,,,,3.33,1.13,4.46,0.83,7.71,8.24,8.91,7.44,14.08,4.24,10.55,3.6,14.48,8.43,4.58,9.11,13.64,3.38,9.36,14.36,13.36,0.57,7.21
October,,,,,,,,12.19,5.93,12.55,8.85,8.95,6.72,12.01,9.3,1.62,2.31,7.84,14.91,5.08,2.12,9.24,5.24,18.42,5.61,,10.42,11.07,10.72,10.91
November,,,,,,,,14.95,19.61,19.31,6.36,1.58,4.84,16.37,1.44,16.97,11.14,4.98,9.78,11.64,16.07,6.36,9.53,18.79,8.1,2.56,3.82,4.06,13.63,21.44
December,,,,,,,,9.73,5.63,5.88,10.07,12.05,5.3,8.74,12.24,9.68,8.93,15.95,12.61,5.28,11.36,7.84,2.72,10.92,14.9,12.56,7.69,9.24,21.26,13.47
Total,,,,,,,,,97.16,82.42,71.11,79.57,83.51,87.63,82.97,102.01,70.39,106.77,79.62,102.75,99.77,79.89,76.08,122.36,78.3,,95.19,92.19,89.01,111.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Jan-Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Ocr IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
