DOUNREAY,,,,,,,,,,
Grid ref,NC990670,Long,-3.73862,Lat,58.57923,Elevation,70,ft,,
Station no,5816/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.11
February,,,,,,,,,0.48,3.92
March,,,,,,,,,1.11,1.12
April,,,,,,,,,1.81,1.92
May,,,,,,,,,2.19,0.85
June,,,,,,,,,1.63,2.29
July,,,,,,,,,3.06,2.95
August,,,,,,,,,2.66,4.26
September,,,,,,,,,1.34,1.55
October,,,,,,,,,4.85,3.09
November,,,,,,,,,4.89,2.58
December,,,,,,,,,3.9,2.96
Total,,,,,,,,,,31.6
,,,,,,,,,,
1959 Ja Est Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5816/4,,,,,,,,,
Midas,26,,,,,,,,,
Hyd Stn,755482,,,,,,,,,
