DUNSTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL006218,Long,-0.539739,Lat,51.885693,Elevation,516,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1162/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,2.37,1.97,4.35,1.48,1.79,1.34,1.4,4.97,1.02,1.04,2.64,1.86,1.32,1.02,1.76,3.37,0.94,2.33,2.92,2.34
February,,,,,,,,,,,1.88,0.54,1.13,1.16,1.41,2.07,1.35,1.33,0.98,3.88,4.53,0.63,1.67,2.04,1.53,0.29,2.48,2.12,0.05,2.22
March,,,,,,,,,,,2.83,1.46,0.68,0.17,0.57,1.19,4.69,0.93,1.3,0.51,3.43,2.93,0.71,2.16,0.98,0.92,1,1.63,2.2,1.26
April,,,,,,,,,,,1.57,1.48,0.91,2.21,1.14,0.92,1.85,1.49,1.48,2.08,2.74,2.08,2,0.26,0.56,1.07,0.18,0.87,2.09,0.69
May,,,,,,,,,,,2.14,2.92,2.4,1.04,1.65,2.7,0.91,3.09,1.73,3.2,2.78,2.08,1.52,2.94,4.65,0.46,1.07,2.02,0.69,1.77
June,,,,,,,,,,,1.13,0.52,2.41,1.85,2.09,2.89,1.9,2.85,0.7,1.85,1.04,0.68,2.11,3.24,2.07,2.26,1.28,4.19,1.38,2.89
July,,,,,,,,,,,3.45,2.5,1.1,1.75,2.13,1.77,1.61,1.15,1.28,5.85,2,0.46,3.54,3.45,0.47,3.72,2.34,2.14,2.74,
August,,,,,,,,,,,3.83,2.24,1.49,1.84,1.5,3.45,0.03,2.49,1.94,3.01,3.4,3.29,1.99,3.5,0.47,4.95,2.29,2.71,1.02,
September,,,,,,,,,,,0.69,1.03,0.82,2.17,2.17,3.83,1.52,2.21,0.63,2.6,2.39,3.37,1.48,1.56,1.38,2.02,2.55,3.31,0.17,
October,,,,,,,,,,2.85,1.44,3.19,2.48,3.24,3.04,1.42,0.25,2.91,5.45,0.46,1.45,3.18,2.05,1.81,2.47,1.63,2.64,2.3,1.94,
November,,,,,,,,,,7.45,2.41,1.54,1.22,3.09,0.89,5.08,1.26,1.51,2.9,4.87,4.49,3.45,1.22,4.88,1.05,0.86,1.95,1.96,2.25,
December,,,,,,,,,,1.34,1.3,2.34,1,1.3,2.88,2.14,2.85,2.17,1.53,1.42,1.74,2.37,0.65,2.4,2.17,3.19,2.47,2.45,3.69,
Total,,,,,,,,,,,25.04,21.73,19.99,21.3,21.26,28.8,19.62,27.1,20.94,30.77,32.63,26.38,20.26,29.26,19.56,24.74,21.19,28.03,21.14,
