BROSELEY-BENTHALL-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ658026,Long,-2.5066059,Lat,52.620082,Elevation,630,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,,1.99,1.97,0.84,0.56,2.5,3.01,2.44,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,,,,,,,,,
February,,,,,,,,,0.99,2.25,2.41,2.23,2.95,2.31,2.02,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,
March,,,,,,,,,1.16,1.22,0.98,2.42,1.7,1.34,2.51,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,
April,,,,,,,,,1.67,2.43,2.47,0.95,3.88,1.01,1.74,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,
May,,,,,,,,,6.14,2.83,2.33,1.3,1.96,1.86,1.11,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,,,,,,,,,
June,,,,,,,,,3.86,4.36,4.98,2.73,4.19,2.88,2.3,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,,,,
July,,,,,,,,,1.53,4.35,5.35,1.75,2.81,2.61,3.21,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,,,,,,,
August,,,,,,,,,5.85,5.25,0.77,4.07,2.12,1.05,2.05,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,
September,,,,,,,,,2.33,2.06,3.48,1.75,2.31,4.84,2.25,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,,,,,,,
October,,,,,,,,,4.35,1.74,5.4,2.7,5.22,3.55,1.73,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,,,,,,,,,
November,,,,,,,,,3.82,0.95,2.15,2.07,4.01,4.21,1.51,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,
December,,,,,,,,,2.36,0.54,3.37,3.09,3.04,0.95,2.3,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,,,,,,,,
Total,,,,,,,,,36.05,29.95,34.53,25.62,36.69,29.62,25.17,29.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.03,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Benthall Hall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
