EYNSHAM-SWINFORD-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP446085,Long,-1.3550095,Lat,51.773402,Elevation,203,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,830/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.49,3.2,3.22,2.67,4.26,2.76,2.34,2.43,3.5,1.28,1.14,1.32,1.26,4.69,0.92,0.58,2.66,1.69,0.94,1.18,2.09,3.65,1.28,3.67,3.7,3.74
February,,,,,1.78,1.96,4.68,0.69,0.93,2.3,2.37,0.53,0.81,0.96,1.53,2.79,1.21,0.87,1.03,4.07,3.36,0.47,1.29,2.24,1.3,0.25,2.52,2.6,0.2,2.03
March,,,,,0.29,1.24,2.97,0.31,1.81,2.56,2.44,2.05,0.9,0.14,0.68,0.86,4.56,0.69,1.56,0.91,3.52,2.19,0.75,2.2,1.23,0.57,1.91,1.2,2.86,1.01
April,,,,,3.62,1.73,3.09,0,3.29,1.6,1.4,0.85,0.92,1.36,1.16,1.34,1.84,1.57,1.21,1.96,2.64,1.51,1.75,0.32,0.52,1.71,0.26,1.01,2.16,0.66
May,,,,,1.71,0.2,2.55,2.13,1.48,1.9,1.59,3.16,2.14,0.43,2,3.03,1.88,4.71,1.85,2.68,2.43,3.57,1.97,1.95,4.29,0.29,1.93,1.66,0.79,2.66
June,,,,,3.1,4.4,1.17,1.09,2.1,0.46,2.81,0.15,1.79,1.74,2.53,1.82,1.04,1.71,0.41,2.01,0.76,1.28,1.89,3.65,2.66,2.57,2.29,3.7,1.2,2.68
July,,,,,,3.92,1.52,1.23,4.56,1.89,4.59,1.48,0.84,2.11,1.73,1.28,1.67,0.72,1.05,4.37,1.76,0.33,3,1.76,0.23,1.86,3.27,2.07,2.16,4.42
August,,,,,1.81,0.79,0.47,5.03,2.16,0.12,3.42,4.37,1.86,1.85,1.51,4.39,0.55,4.39,1.51,2.98,3.59,3.74,3.66,3.18,0.62,3.53,3.8,2.48,1.57,3.15
September,,,,,4.38,3.62,1.75,2.01,0.48,0.83,0.44,0.91,1.72,2.35,1.87,2.93,1.26,2.4,2.75,2.78,2.84,1.2,1.84,1.9,1.21,2.16,3.19,3.43,0.25,3.98
October,,,,,4.3,1.21,3.39,2.94,5.48,2.54,1.18,3.11,2.51,3.41,2.72,1.12,0.41,2.6,5.49,0.6,0.87,4.17,2.51,2.09,1.33,1.69,2.01,2.84,1.66,5.16
November,,,,,4.47,2.5,1.25,2.67,3.97,7.19,2.41,2.07,1.29,3.36,0.16,4.38,1.27,1.43,2.53,4.55,5.43,3.54,0.86,4.45,1.43,0.72,1.9,3.04,1.52,4.02
December,,,,,3.15,2.05,1.31,2.69,1.23,1.19,1.23,3.38,1.01,1.23,3.2,2.24,1.52,2.66,1.2,1.33,1.57,2.18,0.65,2.02,3.24,3.22,2.45,3.11,5.55,4.25
Total,,,,,,26.82,27.37,23.46,31.75,25.34,26.22,24.49,19.29,20.22,20.23,27.5,18.47,28.44,21.51,28.82,31.43,25.87,21.11,26.94,20.15,22.22,26.81,30.81,23.62,37.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Swinford Water Treatment Works.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
