WELLINGBOROUGH-NENE-WHARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP899664,Long,-0.683414,Lat,52.288392,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1117/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.04,1.3,0.85,3.57,3.44,2.7,5.67,,3.73,2.63,3.52,1.5,1.84,1.21,1.9,3.36,0.8,0.73,2.45,1.39,1.08,0.81,1.9,3.54,1.17,2.5,3.4,3.02
February,,,2.1,0.51,2.28,1.97,3.43,0.76,0.79,2.18,1.67,1.03,0.72,1.22,1.33,1.9,2.15,0.75,0.8,3.18,3.01,0.65,1.46,1.88,1.61,0.48,1.9,3.17,0.07,1.83
March,,,2.05,1.58,0.48,1.41,3.24,0.15,1.56,2.16,3.26,1.56,0.76,0.09,0.51,1.22,4.81,0.76,1.31,0.76,3.09,2.63,0.63,2.08,2.06,0.74,1.74,1.46,2.52,1.65
April,,,0.76,1.45,3.33,1.92,2.97,0.06,2.03,1.65,1.2,0.89,0.77,1.6,0.88,1.22,1.68,1.47,1.39,1.82,2.49,2,1.82,0.23,0.58,1.05,0.33,0.64,1.72,0.4
May,,,1.01,0.83,0.95,0.99,3.72,1.67,0.9,1.69,2.56,3.1,1.47,0.74,1.92,2.6,1.15,3.14,2.58,3.29,3.34,3.08,1.36,2.64,3.14,0.44,1.66,1.96,0.36,1.13
June,,,2.15,0.95,2.64,4.05,1.45,1.47,1.8,0.6,2,0.26,1.39,2.65,1.51,1.95,1.14,2.64,0.46,2.3,0.91,1.09,1.63,2.44,1.97,2.7,2.24,5.4,0.66,2.38
July,,,2.1,1.01,0.69,6.91,1.36,1.72,2.24,2.59,2.34,1.99,0.67,1.63,1.62,1.34,1.93,1.02,1.49,3.19,0.87,0.33,2.53,2.47,0.12,4.87,2.95,2.37,2.64,3.03
August,,,0.88,1.6,2.23,0.35,2.43,4.04,4.49,0.21,4.48,1.92,1.78,2.38,1.38,3.38,0.01,2.68,0.57,1.26,3.64,3.07,2.4,3.26,0.5,4.07,1.8,2.52,0.79,2.85
September,,,1.64,1.63,4.22,1.91,1.04,1.6,0.87,0.45,0.56,0.84,1.26,2.44,2.47,3.31,1.06,1.98,1.26,3.29,1.32,2.19,1.12,1.92,1.43,1.65,4.14,1.9,0.01,4.13
October,,,1.48,0.99,2.94,1.64,2.78,2.81,4.43,2.19,1.99,1.81,1.84,2.79,3.22,1.48,0.15,3.19,4.03,0.6,0.75,2.49,1.43,1.95,1.59,1.46,1.71,1.97,1.44,4.42
November,,,1.86,2.09,3.52,2.27,1.59,2.23,3.12,5.46,2.7,2.25,1.11,2.88,0.3,4.02,1.25,1.51,2.06,3.57,4.35,2.61,1.39,4.7,1.13,0.62,1.57,1.65,1.77,3.22
December,,,0.39,3.81,2.83,1.8,2.09,3.72,1.97,1.42,0.88,1.65,0.84,0.99,2.72,1.97,2.17,2.58,1.33,1.12,1.78,2.27,0.54,2.33,1.72,2.75,2.31,2.37,3.69,2.49
Total,,,17.46,17.75,26.96,28.79,29.54,22.93,29.87,,27.37,19.93,16.13,20.91,19.7,25.6,19.4,25.08,18.08,25.11,28,23.8,17.39,26.71,17.75,24.37,23.52,27.91,19.07,30.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
