CAERPHILLY-ABER-TRI-DWR,,,,,,,,,,
Grid ref,ST121892,Long,-3.2703535,Lat,51.594764,Elevation,471,ft,,
Station no,RR8807,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.56,6.06,8.99,10.27,6.78,,,,
February,,8.24,5.31,7.04,5.74,6.17,,,,
March,,6.01,5.57,1.3,5.26,2.95,,,,
April,,2.33,7.33,2.05,2.05,4.67,,,,
May,,4.05,4.04,3.52,4.05,4.31,,,,
June,,4.38,6.14,4.23,2.61,4.27,,,,
July,,3.59,10.38,4.34,4.83,2.9,,,,
August,,8.74,6.49,3.84,4.55,3.15,,,,
September,,2.44,4.24,9.29,3.99,10.7,,,,
October,,4.98,8.88,7.21,2.85,,,,,
November,,8.62,8.63,8.74,3.82,,,,,
December,,5.34,9.95,4.21,10.39,,,,,
Total,,60.28,83.02,64.76,60.41,,,,,
