"ALLOA W.W (GARTMORN RESERVOIR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5458,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.47,4.12,1.90,3.25,0.93,4.83,2.98,4.99,3.99,1.59,,
February,2.45,0.03,2.45,0.00,2.65,2.35,4.02,1.57,3.97,1.38,,
March,1.10,2.55,1.40,3.40,1.53,2.20,2.40,1.59,2.43,2.56,,
April,2.25,4.23,1.10,4.13,2.42,1.14,1.49,0.21,1.52,3.06,,
May,3.60,3.23,1.73,1.85,0.40,0.93,2.95,4.14,1.69,1.78,,
June,5.40,0.91,1.05,1.73,3.30,1.21,2.54,4.02,1.77,0.62,,
July,4.70,2.65,4.13,3.10,1.05,3.70,3.67,3.50,5.84,4.62,,
August,2.10,0.95,1.63,3.50,2.13,2.83,3.63,2.29,2.19,1.15,,
September,1.33,2.90,1.25,3.45,4.94,3.47,1.73,3.19,2.21,2.54,,
October,1.70,4.55,2.20,4.13,6.86,2.86,3.01,6.37,2.61,3.75,,
November,5.90,2.03,1.85,0.50,3.20,2.84,0.57,5.71,5.88,4.05,,
December,1.60,5.88,0.80,3.50,1.98,3.52,1.53,2.07,2.15,2.92,,
Total,34.60,34.03,21.49,32.54,31.39,31.88,30.52,39.65,36.25,30.02,,
Calc annual,34.60,34.03,21.49,32.54,31.39,31.88,30.52,39.65,36.25,30.02,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
