YORK DUNNINGTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE674533,Long,-0.974,Lat,53.971,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949
January,2.02,0.48,2.88,0.66,1.20,0.70,1.88,1.53,2.93,2.65,1.48,2.84,0.79,3.22,1.72,2.70,2.50,2.28,2.67,1.74,2.38,1.52,2.58,2.07,5.07,2.26,3.03,2.12,1.86,2.11,2.00,2.48,3.54,3.14,2.41,3.80,2.36,2.37,3.63,3.84,2.59,3.87,2.58,3.18,5.35,0.89
February,1.95,0.61,1.67,1.00,1.75,0.75,2.30,0.93,1.25,0.59,1.22,2.54,2.83,0.80,1.94,1.29,0.91,0.16,2.39,3.86,1.30,3.51,1.59,1.49,1.52,0.80,0.63,2.20,0.75,3.63,1.79,2.75,2.17,3.56,1.36,1.48,1.87,2.88,1.28,0.45,2.04,2.29,2.63,2.17,1.41,0.71
March,1.51,1.46,1.47,1.32,2.65,3.17,0.66,1.29,2.96,1.94,1.84,1.41,3.08,2.31,1.39,3.35,1.86,1.01,2.03,1.59,1.20,1.04,0.78,1.39,2.26,0.27,2.17,0.72,1.87,2.31,2.20,0.73,1.32,2.37,0.36,2.23,1.89,1.86,1.54,0.46,0.48,0.85,1.40,5.31,0.74,1.71
April,1.21,2.21,0.71,1.52,2.16,2.11,2.16,1.07,0.13,2.55,0.56,1.09,1.48,1.72,1.14,1.35,3.67,1.36,1.86,1.49,1.79,2.44,1.15,2.15,1.01,1.10,2.39,3.81,1.94,1.34,2.75,2.52,1.62,4.12,0.26,1.52,1.85,1.31,1.14,1.13,2.58,1.81,2.21,2.13,1.85,2.70
May,2.36,0.87,1.99,3.23,2.36,1.56,1.91,1.31,3.51,2.10,1.40,1.34,2.67,1.24,2.88,0.76,2.32,1.40,1.05,2.63,3.58,3.05,2.51,1.38,1.23,1.40,1.01,2.50,5.65,2.80,1.31,0.99,1.33,2.07,3.20,1.48,2.34,1.32,2.52,2.32,1.00,1.91,2.60,1.54,1.90,2.26
June,1.03,1.80,1.11,2.86,1.16,2.61,2.32,2.33,6.08,1.25,1.82,0.47,1.25,1.87,0.70,0.81,1.23,0.36,1.18,0.71,2.03,0.03,4.21,2.82,4.21,1.56,2.19,4.09,0.56,1.78,1.69,2.18,3.43,2.19,2.31,2.24,0.64,0.39,0.91,1.96,3.19,3.25,2.88,2.93,3.90,0.72
July,1.90,1.53,1.27,1.48,2.47,2.65,3.46,1.45,3.26,0.34,3.83,4.06,1.62,1.06,3.51,3.51,5.78,1.21,5.11,4.03,3.43,1.19,3.67,3.05,0.67,2.13,4.42,4.77,2.88,1.07,1.48,0.32,3.07,1.27,3.06,5.05,6.32,2.82,2.70,0.96,2.14,1.59,3.36,2.51,0.97,2.47
August,3.26,3.25,1.68,2.04,2.02,3.93,2.70,1.82,4.11,0.76,1.33,2.71,2.84,4.43,2.84,2.54,1.95,3.60,4.04,2.97,2.98,2.39,2.86,4.46,4.51,2.44,3.81,3.24,1.97,0.54,2.38,2.27,3.01,2.07,2.27,2.62,1.13,3.47,3.38,2.66,4.29,2.59,4.35,0.46,3.82,1.96
September,1.27,2.33,0.51,0.86,1.91,1.46,0.31,2.53,1.64,1.55,1.21,1.58,1.27,0.80,5.73,1.29,1.32,0.77,1.82,3.16,2.26,2.98,1.07,5.27,0.38,0.57,3.58,3.53,2.22,1.99,1.44,6.15,1.59,1.28,1.66,0.82,1.61,0.74,2.14,4.04,4.94,2.31,5.81,1.13,1.44,0.52
October,0.61,1.46,4.81,3.72,0.93,2.39,2.29,2.57,2.21,2.59,1.86,1.08,2.70,2.93,1.41,3.81,2.15,1.99,0.94,2.01,2.89,2.60,2.81,2.07,3.81,2.95,2.00,1.18,3.08,4.03,2.00,4.31,1.80,2.88,3.40,3.07,3.27,3.04,2.20,1.61,2.92,4.30,0.86,1.02,1.62,2.96
November,1.52,3.04,2.82,2.87,1.80,0.45,2.75,3.02,2.54,2.19,2.45,1.84,2.10,1.96,1.63,2.11,1.22,1.82,1.51,2.52,1.89,2.37,3.66,2.39,3.02,3.99,3.24,4.10,1.69,2.85,1.93,3.94,3.02,2.36,2.70,3.09,3.47,3.19,1.22,2.52,3.55,0.61,5.75,1.53,1.52,3.87
December,1.46,0.24,1.68,3.04,1.68,4.45,2.26,4.02,1.42,1.24,4.35,5.03,2.17,1.29,3.71,3.77,2.30,2.01,2.33,3.07,2.37,2.50,0.81,2.65,1.71,5.37,2.17,1.23,1.42,0.87,4.46,2.69,1.50,3.13,4.64,1.85,1.95,0.68,2.35,1.39,1.55,1.67,2.81,2.07,2.47,2.26
Total,20.10,19.28,22.60,24.60,22.09,26.23,25.00,23.87,32.04,19.75,23.35,25.99,24.80,23.63,28.60,27.29,27.21,17.97,26.93,29.78,28.10,25.62,27.70,31.19,29.40,24.84,30.64,33.49,25.89,25.32,25.43,31.33,27.40,30.44,27.63,29.25,28.70,24.07,25.01,23.34,31.27,27.05,37.24,25.98,26.99,23.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
