BLACKHEATH-PARK-ELMSDALE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ403755,Long,0.018166711,Lat,51.461094,Elevation,90,ft,,,,,,,,,,,,
Station no,RR6885,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,3.6,1.01,0.94,0.87,1.88,1.38,0.36,1.57,2.82,1.52,0.73,1.46,0.63,2.47
February,,,,,,,0.48,0.55,0.85,2.25,0.92,0.02,1.64,2.83,1.63,0.31,0.39,2.29,1.26,1.76
March,,,,,,,0.95,1.22,2.52,1.39,2.14,1.63,0.99,0.49,0.7,1.44,2.91,3.2,1.37,0.56
April,,,,,,,1.29,1.56,1.61,2.02,1.58,0.78,1.32,0.05,1.74,1.32,0.78,1.4,1.01,3.07
May,,,,,,2.07,3.77,1.46,0.63,3.51,1.6,2.59,1.64,0.6,1.58,0.58,0.37,1.34,3.08,2.14
June,,,,,,1.35,0.46,1.27,3.73,2.47,2.51,1,2.24,1.12,2.33,0.37,2.22,2.11,1.53,1.23
July,,,,,,0.35,2.49,1.34,5.9,2.4,3.8,3.36,1.61,3.19,3.54,3.5,1.35,0.89,1.11,1.53
August,,,,,,1.3,1.14,2.36,3.03,1.98,2.16,3.17,2.92,0.98,3.02,1.98,2.23,2.8,0.91,
September,,,,,,3.44,1.45,2.32,0.79,1.55,0.55,0.69,2.08,1.53,1.62,0.89,5.22,2.73,0.36,
October,,,,,,3.01,1.48,1.16,1.4,3.51,1.22,3.84,4.27,4.33,4.35,2.93,3.05,0.56,2.97,
November,,,,,,2.58,2.77,3.69,3.74,0.76,1.48,1.8,2.31,2.04,3.12,2.84,1.38,1.15,2.55,
December,,,,,,0.88,3.16,1.44,0.85,1.32,0.64,2.33,1.31,1.93,1.96,2.38,2.81,1.96,2.15,
Total,,,,,,,23.04,19.38,25.99,24.03,20.48,22.59,22.69,20.66,28.41,20.06,23.44,21.89,18.93,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1899 Aug - Gauge moved to Chester Square, London SW",,,,,,,,,,,,,,,,,,,,
1899 Aug-Dec values removed as duplicates,,,,,,,,,,,,,,,,,,,,
