BRISTOL-COTHAM,,,,,,,,,,,
Grid ref,ST581746,Long,-2.6045996,Lat,51.468806,Elevation,180,ft,,,
Station no,RR8188,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.4,3.48,3.45,1.89,4.75,3.31,5.45,,,,
February,1.77,0.26,4.67,7.61,0.39,3.88,2.17,,,,
March,2.4,2.08,3.39,1.25,1.78,0.75,,,,,
April,4.68,0.78,2.92,2.55,3.15,1.83,,,,,
May,1.86,1.77,1.04,1.82,3.89,4.78,,,,,
June,3.72,0.21,1.45,0.55,3.55,0.04,,,,,
July,5.06,0.88,4.44,1.96,5.1,3.46,,,,,
August,2.05,2.69,5.06,4.57,4.52,3.15,,,,,
September,1.86,4.39,2.36,2.91,3.52,3.29,,,,,
October,2.9,1.64,1.63,4.7,6.28,3.73,,,,,
November,2.08,2.13,1.74,2.99,3.12,1.87,,,,,
December,3.31,2.76,5.07,2.83,5.72,5.25,,,,,
Total,36.09,23.07,37.22,35.63,45.77,35.34,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1926 Mar gauge moved,,,,,,,,,,,
