BRISTOL-COTHAM,,,,,,,,,,,
Grid ref,ST589745,Long,-2.5930715,Lat,51.467966,Elevation,109,ft,,,
Station no,RR8188,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,3.08,5.37,0.97,4.63
February,,,,,,,,3.2,3.78,1.41,0.66
March,,,,,,,,2.63,2.64,0.5,2.45
April,,,,,,,2.44,1.37,0.94,0.78,2.37
May,,,,,,,3.47,0.97,1.67,2.06,1.19
June,,,,,,,1.68,3.57,2.23,1.66,0.78
July,,,,,,,2.48,5.23,3.38,2.14,2.24
August,,,,,,,2.74,3.72,2.29,3.23,4.15
September,,,,,,,1.18,6.38,0.95,0.39,3.9
October,,,,,,,4.49,2.35,6.68,5.56,2.57
November,,,,,,,7.48,2.9,3.21,8.39,4.66
December,,,,,,,0.59,3.42,3.34,7.33,
Total,,,,,,,,38.82,36.48,34.42,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1926 Mar gauge moved,,,,,,,,,,,
1930 Dec estimated,,,,,,,,,,,
