ROSEWELL,,,,,,,,,,
Grid ref,NT291624,Long,-3.1339752,Lat,55.84957,Elevation,480,ft,,
Station no,5119/5,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,2.85,5.6,2.81,1.82
February,,,,,,,1.48,2.78,1.71,3.8
March,,,,,,,3.85,1.38,0.95,2.1
April,,,,,,,3.96,2.36,1.55,2.88
May,,,,,,,3.2,2.11,1.97,1.79
June,,,,,,,2.73,4.44,0.96,1.25
July,,,,,,,2.69,1.97,2.43,
August,,,,,,,0.25,9.82,2.7,
September,,,,,,,1.35,2.73,1.22,
October,,,,,,,0.86,1.5,4.59,2.82
November,,,,,,,3.7,2.37,3.59,4.23
December,,,,,,2.59,2.77,2.81,5.28,2.06
Total,,,,,,,29.69,39.87,29.76,
,,,,,,,,,,
"1950 July, Aug, Sept and total estimated therefore removed",,,,,,,,,,
NGR dist/direction church and station,,,,,,,,,,
