WEST-ADDERBURY-CROSS-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP466356,Long,-1.322372,Lat,52.016875,Elevation,338,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,0.7,2.09,1.73,2.69,0.81,2,0.69,3.16,3.57,1.4,0.9,2.56,3.2,0.76,4.03,0.92,1.33,1.14,1.94,0.94,4,3.31,0.67,2.35,1.19,1.48,2.39,3.53,2.76,2.26,3.16,1.58,2.65,0.98,3.29,2.47,3.32,1.37,3.47,1.59,2.16,1.64,2.15,,3.77,4.55,2.5,4.84,2.27,2.5,3.04,4.18,1.78,1.72,1.86,1.76,4.78,0.91,0.63,2.74,1.9,1.05,0.96,2.2,3.97,1.4,2.88,3.75,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,0.69,2.36,1.7,0.34,0.46,2.7,1.17,2.95,5.11,1.49,1.37,1.12,4.5,0.7,1.94,1.3,0.86,0.53,3.42,1.42,1.92,1,2.25,3.24,3.83,0.98,1.14,2.46,0.72,0.32,2.47,4.25,0.41,3.5,2.03,2.72,1.79,0.62,0.71,2.31,0.18,3.01,0.41,,1.94,4.08,0.81,1.02,2.56,2.72,0.76,0.86,1.2,1.69,1.78,1.38,0.9,1.43,4.81,3.17,0.63,1.47,2.28,1.35,0.43,3.24,2.85,0.03,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.77,0.24,1.61,2.67,2.42,3.86,0.8,0.62,0.51,2.16,1.62,3.27,1.46,3.1,1.27,1.09,2.97,2.86,0.8,2.02,3.4,2.75,2.89,1.18,4.91,2.05,0.71,4,2.01,1.1,1.72,1.8,1.07,0.51,0.55,2.4,1.84,0.03,1.35,0.05,1.73,2.59,2.02,,2.06,3.19,0.22,2,1.95,2.2,1.64,0.69,0.26,0.85,0.76,5.31,0.96,1.43,1.11,3.73,2.95,0.83,2.45,1.49,0.64,2.3,1.46,2.83,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.52,0.17,1.8,1.74,0.69,1.27,1.95,2.21,0.68,2.51,1.61,2.01,0.99,2.21,0.78,2.39,3.79,2.12,2.25,0.86,0.07,3.6,0.78,0.75,1.44,1.33,3.09,2.03,5.77,1.11,2.72,2.12,2.94,1.78,3.56,1.42,1.01,1.35,2.44,3.79,2,1.38,1.88,,1.46,3.43,0.07,2.72,3.5,1.27,0.82,0.62,2.14,1,1.34,2.25,1.74,1.61,1.82,2.77,1.95,1.95,0.31,0.86,0.9,0.55,0.77,2.15,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.29,1.57,1.33,0.64,0.23,1.21,3.09,1.49,1.47,1.26,2.06,4.51,2.52,0.69,2.15,3.43,1.71,2.04,1.85,0.99,2.45,2.01,0.83,2.09,1.87,2.58,1.6,1.13,2.16,2.3,0.66,1.59,6.03,2.72,2.82,0.85,0.68,1.56,1.98,2.68,4.65,1.23,0.61,,0.61,2.69,2.05,1.24,2.12,1.54,2.93,2.31,0.72,3.5,3.12,1.49,4.65,2.32,2.83,3.47,2.57,1.24,2.42,4.07,0.62,1.34,2.43,0.46,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.08,1.03,2.01,0.82,2.43,2.65,1.03,1.04,1.89,1.54,2.41,4.32,0.64,2.94,3.46,2.9,2.18,4.66,3.14,1.53,3.3,0.46,2.34,0.73,2.7,1.66,0.75,1.22,2.31,0.46,0.6,0.29,1.64,0.08,3.21,2.99,2.06,1.08,1.31,2.22,1.38,2.41,0.87,,3.31,1.49,1.07,2.47,0.46,1.26,0.03,1.77,2.74,2.31,2.52,1.14,2.53,0.38,1.47,1.6,1.83,1.78,2.46,2.79,2.48,1.96,2.96,1.31,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.66,3.59,3,3.35,1.11,0.58,0.87,1.07,1.89,3.35,1.14,4.92,2.97,1.21,0.83,2.27,1.71,3.09,2.05,0.56,3.14,0.93,3.4,3.54,2.18,2.24,2.6,2.27,3.33,0.36,4.71,1.93,3.58,3.61,2.52,2.33,2.21,1.8,2.86,3.08,1.45,1.12,1.23,,5.4,1.72,1.41,3.71,2.09,2.95,1.63,0.59,2.3,1.84,1.23,2.16,0.89,0.67,3.97,1.75,0.37,2.88,2.52,0.17,2.76,5.01,3.19,1.99,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.56,1.42,2.48,1.72,1.49,3.46,1.7,1.07,3.97,2.1,2.33,3.35,1.66,4.31,0.87,2.25,3.65,2.63,2.75,1.58,6.11,0.43,1.54,1.3,3.04,4.99,1.07,2.23,0.98,2.05,4.47,1.75,2.47,2.39,1.01,3.29,2.19,1.29,2.31,4.37,2.18,0.79,1.79,,0.52,1.5,1.74,2.49,0.06,3.5,3.02,1.55,2.03,2.6,4.94,0.52,4.75,1.06,3.24,5.27,3.4,3.04,3.52,0.21,3.77,4.97,2.52,0.78,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.92,0.58,2.48,1.09,5.23,2.09,1.15,2.07,0.46,1.56,1.98,2.29,1.97,1.05,1.06,0.83,1.17,3.07,0.43,1.4,1.24,2.38,1.2,1.93,0.87,1.98,4.71,1.93,2.14,1.39,2.29,2.96,4.11,3.43,1.1,5.13,0.65,0.54,2.95,2.18,2.55,1.6,2.34,,3.66,3.14,2.61,0.63,0.43,0.49,1.22,1.88,3.37,1.67,3.78,1.5,2.81,2.62,3.31,2.29,1.38,1.81,3.09,1.29,2.06,2.99,3.57,0.1,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.83,2.44,3.85,3.42,2.74,1.8,3.92,2.46,2.28,1.05,2.18,6.44,0.62,1,4.83,5.37,1.07,3.83,2.45,2.23,2.74,4.04,1.94,2.35,3.32,3.01,1.41,2.03,1.9,1.1,0.69,4.34,3.77,2.96,2.3,1.75,4.1,3.38,1.54,0.63,3.73,1.88,1.39,,1.46,3.03,2.89,5.29,3.1,1.59,3.11,2.01,3.41,3.31,1.55,0.5,3.51,5.55,0.51,0.88,3.66,2.86,2.59,1.32,1.69,1.38,3.16,2.46,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
