OTTERBOURNE-KINGFISHER-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU468225,Long,-1.33444,Lat,50.999995,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,705/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.77,0.8,5.74,6.89,3.7,5.61,3.01,3.32,3.7,5.67,2.5,1.72,2.64,2.52,5.73,0.81,0.77,3.4,2.53,1.18,1.68,3.29,4.66,2.6,4.27,3.45,4.26
February,,,,0.11,4.15,3.35,5.85,0.65,1.68,3.64,2.62,0.55,1.26,0.6,2.26,2.97,1.64,1.33,1.55,4.96,6.39,0.62,1.56,3.33,1.65,0.18,4.02,2.55,0.15,2.85
March,,,,3.29,0.87,2.24,3.96,0.3,1.18,2.84,3.52,3.02,0.6,0.29,0.74,0.94,6.69,1.06,1.64,1.96,4.66,2.86,0.75,2.92,1.28,0.68,2.25,1.72,3.71,2.15
April,,,,2.08,3.71,2.35,2.5,0,1.72,1.22,1.2,1.81,0.82,1.53,1.23,2.21,2.46,1.94,1.72,2.52,3,1.86,2.42,0.24,0.54,1.83,0.15,0.72,2.81,1.27
May,,,,0.97,1.17,0.4,3.21,1.92,1.09,0.7,2.11,3.11,3.55,0.38,2.61,3.38,1.28,3.13,3.17,1.3,2.65,3.01,2.75,1.72,4.68,0.27,1.39,2.11,0.53,0.91
June,,,,1.57,4.82,3.8,2,0.81,2.41,0.21,1.25,0.35,1.08,2.55,3.02,4.02,1.32,2.65,0.53,1.41,1.34,1.26,2.17,2.96,2.77,1.86,1.6,3.55,0.86,2.91
July,,,,0.83,1.72,3.67,1.49,2.36,4.66,3.53,2.19,1.92,2.3,2.6,2.12,1.29,1.54,1.38,0.68,4.56,2.61,0.26,3.44,3.16,1.18,3.1,4.53,1.63,1.96,4.14
August,,,,3.65,3.6,0.38,1.38,1.77,1.77,0.1,4.42,3.34,1.66,2.34,1.86,4.56,0.76,4.16,1.39,4.35,5.16,3.02,3.04,4.54,0.48,4.98,3.25,3.79,2.5,4.78
September,,,,2.57,4.68,4.06,1.84,1.23,1.11,1.6,0.77,2.22,1.47,2.09,2.06,4.66,1.8,2.71,2.31,4.34,3.89,3.07,3.64,3.73,1.65,4.46,3.14,5.38,0.06,5.15
October,,,,1.64,5.28,1.66,3.13,3.39,5.51,4.02,1.64,3.79,3.9,4.54,3.24,1.31,1.44,2.04,7.88,0.43,1.05,4.87,4.78,3.21,4.47,3.04,2.41,3.45,2.91,7.98
November,,,,2.39,7.92,3.77,2.12,4.49,5.82,8.5,3.02,1.54,1.59,5.18,0.34,7.01,1.46,1.65,4.07,6.39,9.11,3.63,1.48,5.3,2.64,0.9,2.94,2.96,3.75,5.06
December,,,,9.61,3.99,3.8,4.54,4.13,2.02,2.32,2.59,3.85,1.99,2.99,4.53,3.72,2.93,5.49,2.14,2.44,2.78,2.76,1.02,3.01,4.11,5.62,2.53,4.45,7.49,4.36
Total,,,,31.48,42.71,35.22,38.91,24.75,34.58,31.69,28.65,29.2,25.89,27.59,25.73,38.71,25.84,33.27,27.89,35.43,46.04,29.75,28.23,35.8,28.74,31.58,30.81,36.58,30.18,45.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Mar Inspection Exposure good except for trees to NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Trees now lopped and gauge moved NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Aug Gauge moved 15yrds W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as OTTERBOURNE SRC_ID 7584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
