"ALDERSHOT (WATERWORKS)",,,,,,,,,,,,
Grid ref,SU864493,Long,-0.763798,Lat,51.236351,,,,,,,
Station no,751/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.87,2.37,0.88,1.44,2.88,4.35,1.86,2.88,2.69,3.14,,
February,6.00,0.63,1.64,2.67,1.67,0.25,3.95,2.43,0.16,2.60,,
March,4.40,2.85,0.36,2.61,0.99,0.58,1.41,1.81,2.97,1.59,,
April,2.88,2.09,2.26,0.31,0.32,1.12,0.32,0.96,2.55,0.64,,
May,3.03,2.67,2.21,3.02,3.69,0.25,1.24,2.16,1.06,2.31,,
June,1.05,2.02,1.43,2.44,2.50,2.07,1.03,3.42,0.78,1.28,,
July,2.57,0.69,3.07,2.95,1.57,3.45,3.82,1.21,2.98,2.95,,
August,4.54,2.74,1.99,3.34,1.13,3.38,2.33,4.09,1.96,3.81,,
September,2.31,3.60,2.42,2.21,1.99,3.85,2.99,4.48,0.11,3.57,,
October,0.76,3.78,3.62,2.62,4.38,1.91,1.89,2.95,2.44,7.26,,
November,8.22,3.30,1.61,5.27,2.55,0.80,3.12,2.71,3.18,4.89,,
December,2.66,2.64,0.80,2.59,2.99,4.31,2.26,2.65,4.92,3.40,,
Total,42.29,29.38,22.29,31.47,26.66,26.32,26.22,31.75,25.80,37.44,,
Calc annual,42.29,29.38,22.29,31.47,26.66,26.32,26.22,31.75,25.80,37.44,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
