"NEWTOWN (MOCHDRE RES.)",,,,,,,,,,,,
Grid ref,SO079871,Long,-3.357367,Lat,52.474033,,,,,,,
Station no,4247/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.11,5.11,1.24,2.52,3.28,5.65,2.59,4.47,5.48,6.07,,
February,5.74,1.29,1.53,4.10,2.39,1.06,4.21,5.53,0.37,4.08,,
March,5.20,1.89,3.59,2.66,3.92,2.03,2.94,1.32,2.83,1.91,,
April,3.35,3.17,3.32,1.13,1.32,2.63,0.15,0.83,4.93,2.55,,
May,3.37,1.80,1.74,1.92,5.07,0.68,2.03,2.88,3.55,1.37,,
June,0.64,2.26,1.20,4.57,3.85,2.10,2.32,3.64,3.45,2.28,,
July,2.00,1.44,3.38,2.57,0.86,3.42,4.08,5.42,2.64,2.80,,
August,3.44,4.37,3.01,4.43,1.23,4.74,7.02,2.31,0.65,4.31,,
September,1.27,3.66,4.27,3.61,1.64,4.31,5.99,7.51,0.10,4.01,,
October,1.72,5.20,2.15,4.71,2.71,2.47,3.10,3.37,4.38,6.34,,
November,9.05,3.50,2.85,9.73,2.98,2.06,3.99,1.88,5.16,7.31,,
December,5.04,4.53,1.40,4.80,3.75,3.65,3.21,3.60,6.65,6.46,,
Total,44.93,38.22,29.68,46.75,33.00,34.80,41.63,42.76,40.19,49.49,,
Calc annual,44.93,38.22,29.68,46.75,33.00,34.80,41.63,42.76,40.19,49.49,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
