NEWTOWN-MOCHDRE-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO079871,Long,-3.3573671,Lat,52.474033,Elevation,650,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4247/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.22,2.59,2.54,3.82,6.35,4.23,3.04,4.66,2.77,9.09,2.16,1.06,4.11,5.11,1.24,2.52,3.28,,2.59,4.47,5.48,6.07
February,,,,,,,,,3.75,2.88,2.93,0.53,2.96,1.93,3.85,5.42,1.67,2.24,1.71,8.01,5.74,1.29,1.53,4.1,2.39,1.06,4.21,5.53,0.37,4.08
March,,,,,,,,,2.5,2.97,2.73,2.63,0.95,0.42,1.22,1.39,7.49,2.18,1.38,1.77,5.2,1.89,3.59,2.66,3.92,2.03,2.94,1.32,2.83,1.91
April,,,,,,,,,2.95,2.47,2.4,2.17,1.16,1.29,1.82,1.56,3.52,2.19,3.5,3.61,3.35,3.17,3.32,1.13,1.32,2.63,0.15,0.83,4.93,2.55
May,,,,,,,,,0.78,2.67,2.98,5.34,3.7,1.67,3.61,1.81,3.36,3.39,4.16,1.29,,1.8,1.74,1.92,5.07,0.68,2.03,2.88,3.55,1.37
June,,,,,,,,,1.9,1.05,1.05,0.71,3.19,1.82,4.24,3.47,2.23,3.87,0.99,1.38,,2.26,1.2,4.57,3.85,2.1,2.32,3.64,3.45,2.28
July,,,,,,,,,7.23,4.53,4.53,2.92,1.56,1.48,1.86,3.08,2.19,1.22,1.91,3.19,2,1.44,3.38,2.57,0.86,3.42,4.08,5.42,2.64,2.8
August,,,,,,,,,2.26,0.59,0.59,2.51,4.08,2.58,3.88,6.37,0.34,3.56,1.6,6.47,3.44,4.37,3.01,4.43,1.23,4.74,7.02,2.31,0.65,4.31
September,,,,,,,,,0.59,1.87,1.87,2.31,5.18,3.65,1.74,5.99,1.93,3.27,1.7,5.84,,3.66,4.27,3.61,1.64,4.31,5.99,7.51,0.1,4.01
October,,,,,,,,,2.34,4.75,3.68,2.85,4.63,5.81,4.35,2.7,0.49,2.55,5.81,2.58,1.72,5.2,2.15,4.71,2.71,2.47,3.1,3.37,4.38,6.34
November,,,,,,,,,8.35,10.76,11.83,0.71,3.06,5.53,0.62,7.54,4.09,2.07,5.48,4.92,9.05,3.5,2.85,9.73,2.98,2.06,3.99,1.88,5.16,7.31
December,,,,,,,,,2.78,2.72,2.72,5.89,2.36,4.16,4.82,5.19,,6.66,5.62,2.71,5.04,4.53,1.4,4.8,3.75,3.65,3.21,3.6,6.65,6.46
Total,,,,,,,,,42.65,39.85,39.85,32.39,39.18,34.57,35.05,49.18,,42.29,36.02,42.83,,38.22,29.68,46.75,33,,41.63,42.76,40.19,49.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s records. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
