POSTBRIDGE-ARCHERTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX636791,Long,-3.9279,Lat,50.5962,Elevation,1320,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.38,,,,,,,,,,,,,,17.99,3.49,14.18,10.68,15.1,,,,,,,,
February,,,,,11.59,,,,,,,,,,,,,,11.17,2.66,3,8.21,0.1,,,,,,,,
March,,,,,13.84,,,,,,,,,,,,,,9.91,1.07,5.23,3.09,6.12,,,,,,,,
April,,,,,3.52,,,,,,,,,,,,,,3.55,1.27,5.3,6.04,6.27,,,,,,,,
May,,,,,3.59,,,,,,,,,,,,,,1.6,6.96,4.05,4.03,6.07,,,,,,,,
June,,,,,2.05,,,,,,,,,,,,,,5.4,3.67,2.17,6.61,4.84,,,,,,,,
July,,,,,8.06,,,,,,,,,,,,,,5.03,4.38,5.38,7.76,6.55,,,,,,,,
August,,,,,5.89,,,,,,,,,,,,,,4.69,5.69,7.58,9.09,3.01,,,,,,,,
September,,,,,5.22,,,,,,,,,,,,,,1.93,1.66,10.34,3.46,10.75,,,,,,,,
October,,,,,4.91,,,,,,,,,,,,,,12.45,14.24,11.21,1.97,16.52,,,,,,,,
November,,,,,10.53,,,,,,,,,,,,,,16.25,22.25,14.67,13.52,5.25,,,,,,,,
December,,,,,18.23,,,,,,,,,,,,,,11.66,20.73,8.41,6.36,5.5,,,,,,,,
Total,,,,,91.81,,,,,,,,,,,,,,101.63,88.07,91.52,80.82,86.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 altitude much lower(1200) but likely an error and in same place as later records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original observer and latter one were siblings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Exact location not known, but this NGR fits the altitude",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Total high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
