LAVANT,,,,,,,,,,
Grid ref,SU866084,Long,-0.77070588,Lat,50.868627,Elevation,110,ft,,
Station no,434/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.39,2.12,2.16,2.13,0.68,,,,,
February,1.77,0.19,2.97,0.04,3.55,,,,,
March,1.19,1.53,2.91,2.53,0.68,,,,,
April,3.33,2.59,1.36,2.13,3.75,,,,,
May,2.93,4.46,2.96,0.57,0.8,,,,,
June,1.65,1.57,1.49,1.5,3.19,,,,,
July,3.75,5.05,1.61,1.85,1.56,,,,,
August,3.84,0.84,0.98,2.9,3.23,,,,,
September,2.36,2.71,3.35,2.42,4.71,,,,,
October,0.75,7.21,2.22,1.96,4.8,,,,,
November,4.01,1.66,0.93,3.47,8.36,,,,,
December,0.84,1.07,0.73,9.41,4.79,,,,,
Total,28.81,31,23.67,30.91,40.1,,,,,
