EDENFIELD NEW HALL NURSERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD807197,Long,-2.29362,Lat,53.6734,Elevation,801,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2907/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.75,2.68,6.31,4.82,6.33,6.34,3.16,1.81,6.98,6.88,6.36,4.44,5.66,3.34,11.53,2.63,3.29,5.13,5.78,2.58,5.26,2.8,6.61,5.04,5.67,3.5,6.42
February,,,,0.57,8.21,3.76,7.93,2.61,5.66,2.49,5.89,2.72,2.79,2.5,5.35,6.07,0.27,3.28,3.66,6.44,4.05,1.36,1.63,3.85,1.95,1.35,3.44,7.91,0.8,4.2
March,,,,4.06,1.71,3.58,2.44,1.59,3.28,3.38,3.86,4.16,1.62,0.7,1.64,1.53,6.83,1.96,1.74,3.3,5.04,3.27,3.2,3.13,2.11,1.95,4.62,2.4,2.41,1.41
April,,,,3.07,4.26,1.55,3.82,0.97,2.71,3.22,2.25,2.38,2.89,3.91,2.48,1.4,4.71,2.03,4.23,3.84,3.02,4.53,4.05,0.83,2.93,3.2,0.61,1.88,4.15,3.73
May,,,,4.38,1.52,1.04,2.21,4.73,1.66,1.02,3.23,3.87,3.62,3.38,4.71,1.2,2.31,2.28,3.64,2.4,1.79,2.86,2.93,3.66,4.94,2.42,2.57,5.84,1.48,2.3
June,,,,3.12,4.38,4.77,2.22,5.63,3.91,1,0.49,1,5.19,3.14,6.98,3.8,3.02,6.59,0.78,2.53,1.24,5.17,3.63,3.57,3.37,2.71,2.74,5.14,3.79,1.55
July,,,,2.27,2.29,4.96,2.75,5.68,8.29,3.5,3.53,5.65,3.38,3.76,4.74,3.79,4.72,2.62,2.13,4.91,4.07,2.29,7.28,6.45,1.48,6.59,6.91,4.12,4.8,9.21
August,,,,4.42,2.47,3.66,3.75,4.15,3.17,2.64,7.93,5.85,6.43,4.16,3.67,7.89,0.19,5.35,4.16,8.41,5.15,6.22,5.66,7.03,1.54,12.83,7.7,5.25,0.85,5.6
September,,,,5.27,9.68,5.62,2.04,2.64,1.33,5.28,1.39,2.92,5.63,6.36,3.33,7.53,3.51,3.57,1.64,9.97,4.28,4.79,5.1,5.76,4.64,4.13,6.89,6.2,0.4,3.3
October,,,,7.59,11.66,6.96,2.62,14.35,2.77,5.38,5.47,7.2,3.64,6.17,7.29,1.54,1.05,3.06,5.99,3.48,0.85,6.14,2.38,9.67,2.89,4.27,7.85,4.83,6.23,5.53
November,,,,2.17,6.41,7.74,2.6,7.86,8.12,9.36,3.69,1.3,4,9.06,0.71,8.2,6.3,2.71,7.62,7.09,10.81,3.07,6.45,7.41,2.73,2.59,2.82,2.07,5.51,8.83
December,,,,8.06,5.4,6.9,3.99,6,4.28,5.88,3.03,4.66,2.93,5.06,4.18,4.36,3.64,5.29,7.98,3.33,10.72,5.08,2.51,7.87,6.36,5.61,6.38,5.88,12,6.47
Total,,,,49.73,60.67,56.85,41.19,62.54,51.52,46.31,42.57,48.69,49,54.56,49.52,52.97,39.89,50.27,46.2,58.99,56.15,50.56,47.4,64.49,37.74,54.26,57.57,57.19,45.92,58.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 1958 amount corrected to 5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
