GODMANCHESTER-FARM-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL242701,Long,-0.17942165,Lat,52.314966,Elevation,35,ft,,,,,,,,,,,,
Station no,RR6606,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.74,1.35,2.19,1.91,3.02,1.02,1.65,0.31,1.16,1.32,2.35,,,,,,
February,,,,1.27,0.8,1.06,2.01,1.52,0.99,2.41,1.75,2,1.04,2.58,,,,,,
March,,,,1.03,0.64,0.51,2.4,1.56,0.77,0.92,1.05,1.31,1.63,0.7,,,,,,
April,,,,0.85,1.27,1.28,4.16,2.65,2.26,2.01,1.62,0.93,2.57,1.56,,,,,,
May,,,,2.14,1.07,0.83,0.76,1.23,4.25,2.98,1.29,1.25,1.1,1.37,,,,,,
June,,,,2.2,0.87,2.92,1.39,0.42,3.13,4.94,3.7,1.68,2.86,3.91,,,,,,
July,,,,1.44,0.73,7.26,0.88,3.11,0.85,3.59,7.13,2.08,2.57,2.43,,,,,,
August,,,,1.79,1.61,1.52,1.9,4.07,4.57,4.63,1.12,5.01,1.59,0.87,,,,,,
September,,,,1.72,3.01,2.53,3.37,1.46,0.72,2.16,5.21,2.25,2.46,4.76,,,,,,
October,,,,1.84,1.92,3.63,1.18,1.23,2.16,0.93,4.74,2.02,5.02,1.6,,,,,,
November,,,,1.76,1.5,3.49,2.97,2.71,3.92,1.15,1.83,1.94,2.51,2.48,,,,,,
December,,,,0.54,1.87,1.1,4.25,1.49,1.2,0.68,2.29,2.78,3.19,1.15,,,,,,
Total,,,,18.32,16.64,28.32,27.18,24.47,25.84,28.05,32.04,24.41,27.86,25.76,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1882 Jan IDR,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
