GOUDHURST-BEDGEBURY-FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ720335,Long,0.453875,Lat,51.07505,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,321/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.76,1.12,5.19,6.78,4.16,6.96,3.32,3.78,2.7,5.76,2.29,2.53,3.28,2.57,5.41,3.15,1.68,3.98,3.04,1.28,2.51,4.29,5.69,3.19,3.66,2.89,3.26
February,,,,0.35,4.88,2.26,5.33,0.83,1.53,2.69,3.26,0.89,1.75,1.5,2.15,3.69,2.53,1.84,1.8,5.93,6.92,1.29,1.48,2.28,2.08,1.59,5.68,2.94,0.05,2.87
March,,,,3.98,0.37,1.45,4.32,0.62,1.71,3.36,2.8,3.32,0.33,0.06,1.79,1.98,6.95,1.07,1.14,1.62,3.98,3.26,0.18,3.36,2.15,1.17,1.45,1.76,2.27,3
April,,,,2.61,4.04,2.32,2.69,0.56,2.86,1.72,1.76,1.5,1.53,1.41,1.28,1.83,2.26,1.67,1.88,2.93,2.45,1.77,2.28,0.56,0.07,1.01,0.37,1.7,3.1,1.01
May,,,,0.72,1.79,0.37,2.33,2.63,2.6,1.17,2.34,3.67,2.9,0.72,2.29,2.78,1.69,2.17,1.61,1.77,2.44,1.65,1.43,2.11,4.79,0.44,1.47,2.17,1.51,2.4
June,,,,1.05,2.43,3.47,2.27,1.34,1.75,0.66,2.49,0.24,1.67,1.44,1.09,3.07,3.35,2.68,0.82,1.43,1.42,0.98,2.4,3.49,2.1,2.39,1.45,4.32,0.9,1.75
July,,,,0.79,0.81,4.69,0.87,2.15,2.39,3.6,4.95,2.09,1.73,3.68,2.21,2.14,1.56,1.55,0.21,2.76,2.32,0.8,3.12,3.6,1.17,4.51,4.68,2.52,2.26,4.23
August,,,,2.09,4.46,1.23,3.88,2.17,1.84,0.08,4.24,2.47,1.34,3.61,2.85,6.71,0.09,4.06,1.29,3.21,4.36,4,2.06,3.37,1.48,5.38,2.64,5.6,1.12,5.28
September,,,,1.91,5.12,2.3,1.74,3.53,0.61,1.83,0.28,2.5,1.59,2.79,1.32,3.21,1.51,2.52,2.63,2.98,4.26,3.83,4.55,2.73,2.89,3.05,3.5,3.31,0.14,3.75
October,,,,2.15,4.07,2.2,4.37,4.68,7.59,5.54,1.87,3.58,3.24,5.88,3.25,1.59,0.75,2.43,7.88,0.63,1.32,3.69,3.38,3.63,5.57,1.69,1.66,3.89,3.56,8.68
November,,,,3.79,7.02,5.2,1.4,4.16,6.8,8.51,3.94,1.95,1.87,5.89,0.41,6.33,1.74,1.87,4.19,7.08,5.68,4.68,1.98,7.09,1.47,1.18,3.56,1.62,5.45,7.75
December,,,,8.42,4.5,3.61,4.49,4.13,1.84,2.38,2.67,3.49,2.39,2.84,4.42,3.42,3.36,4.18,1.75,2.42,3.62,3.66,0.8,1.97,3.53,4.92,2.8,4.37,8.53,4.23
Total,,,,31.62,40.61,34.29,40.47,30.96,38.48,34.86,34.38,28.4,26.1,32.11,25.59,40.03,28.36,31.45,28.35,34.44,42.75,32.65,24.94,36.7,31.59,33.02,32.45,37.86,31.78,48.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jun IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
