HAWKHILL,,,,,,,,,,
Grid ref,NT277751,Long,-3.1597312,Lat,55.963445,Elevation,100,ft,,
Station no,RR503,,,,,,,,,
,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779
January,,1.04,2.68,3.53,2.78,4.59,3.26,,,
February,,1.17,1.39,1.15,2.02,3.01,2.36,,,
March,,0.54,1.68,1.23,0.86,1.59,1.46,,,
April,,0.44,1.3,3.63,1.74,0.58,1.21,,,
May,,1.38,2.02,1.83,3.49,1.42,0.63,,,
June,,0.48,3,0.87,3.87,1.21,2.37,,,
July,,1.85,3.69,1.41,1.51,5.81,3.08,,,
August,,3.23,2.71,1.28,4.82,2.36,2.41,,,
September,,1.74,3.26,3.68,2.93,3.82,2.75,,,
October,,5.59,3.51,2.95,1.3,5.31,1.73,,,
November,,3.76,5.66,3.37,2.18,3.61,2.75,,,
December,,0.97,1.28,3.91,2.69,0.76,2.08,,,
Total,,22.19,32.18,28.84,30.19,34.07,26.09,,,
,,,,,,,,,,
NOT USED TYRain_1677-1886_B_pt1-page-083.csv - duplicate of page 82 but to 3 decimal places,,,,,,,,,,
NGR for Hawkhill House.,,,,,,,,,,
