CATERHAM-JUNCTION-TUDOR-COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ314616,Long,-0.11498,Lat,51.33868,Elevation,216,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.42,2.86,2.73,2.47,3.73,2.43,1.11,1.44,2.97,2.71,0.6,1.98,3.46,1.48,0.8,2.59,0.9,3.23,4.7,,,,,,,,,
February,,,2.39,4.87,2.33,3.33,0.37,0.64,1.29,2.56,1.06,0.09,1.72,3.56,1.91,0.34,0.41,2.5,1.57,2.76,,,,,,,,,,
March,,,0.95,1.01,2.12,1.98,1.58,2.01,3.96,2.66,2.95,2.68,1.61,0.65,1.29,1.85,3.55,4.18,2.19,0.95,,,,,,,,,,
April,,,3.36,1.45,1.33,1.84,2.03,2.29,1.97,2.59,2.32,0.77,1.27,0.07,2.13,1.72,0.96,1.49,1.56,2.52,,,,,,,,,,
May,,,1.12,2.26,0.61,3.9,4.74,1.9,1.1,3.04,1.84,2.74,1.4,0.9,1.98,0.58,0.19,2.03,4.21,1.71,,,,,,,,,,
June,,,2.76,1.09,1.44,1.77,0.88,0.91,2.74,1.14,2.37,1.56,3.23,1.01,2.65,0.62,2.63,2.63,1.77,0.9,,,,,,,,,,
July,,,3.06,2.63,1.38,0.17,2.68,1.79,7.82,3.26,5.79,5.05,2.27,2.84,4.29,3.61,2.61,1.29,0.7,0.88,,,,,,,,,,
August,,,1.49,0.79,1.47,1.2,1.21,2.53,2.54,2.7,2.82,5.64,4.32,0.72,3.76,2.17,2.29,3.36,1.18,0.88,,,,,,,,,,
September,,,2.65,3.14,2.47,4.6,2.05,3.65,1.06,1,0.76,1.23,2.19,1.71,1.95,0.87,7.02,2.9,0.64,2.69,,,,,,,,,,
October,,,6.37,2.37,1.22,3.59,2.88,1.8,1.59,4.75,1.48,6.76,4.6,5.04,4.9,3.13,4.02,0.73,3.71,2.25,,,,,,,,,,
November,,,2.65,4.45,1.55,3.15,3.58,5.1,4.58,1.15,2.34,3.4,2.78,2.58,4.79,4.64,1.81,1.49,4.23,5.28,,,,,,,,,,
December,,,2.37,0.66,2.7,1.44,4.93,1.86,2.11,1.82,0.72,4.62,1.61,2.47,1.76,3.23,3.93,3.21,3.51,2.06,,,,,,,,,,
Total,,,30.59,27.58,21.35,29.44,30.66,26.91,31.87,28.11,27.42,37.25,27.6,23.53,34.87,24.24,30.22,28.4,26.17,26.11,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tudor Cottage on what is now The High St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 Note on sheet gives value for 1900 Jan Then station ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
