COLINTON FERNIELAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT210681,Long,-3.2639,Lat,55.9003,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.53,4.67,7.41,4.35,6.32,1.73,2.5,2.95,2.48,4.4,5.5,1.2,4,5.7,1.8,3.4,4.6,6.1,5.9,3,2.6,2.5,4.9,3.8,2.6,6.1,1.4,7.5,4,1.3,1.2,2.1,2,3.5,5.1,2,6.3,1.6,2.1,0.9,4.1,0.95,1.25,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,6,1.25,3.52,3.65,1.35,2.54,3.02,0.94,1.46,2.6,2.3,2.25,1.6,2,2.6,2.1,4.7,2.6,3.8,3.8,4.9,3.6,2.9,1.5,0.9,1.8,3.4,2.4,1.2,3.4,2.5,4,2.6,1.6,1.8,2.6,1.6,1.5,2.3,1.7,0.9,0.25,3.45,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.42,4,0.89,1.33,1.82,1.26,0.26,2.68,1.93,4.5,2.7,3.7,4.2,1,4.1,1.3,2.5,3.6,2.8,1.4,1.1,1.8,4.9,2,2,1.1,4.5,2.3,1,3.9,2,2.3,3.5,1.6,2,2,3.7,2.1,5,1.2,1.9,4.15,2.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.6,2.95,0.28,1.56,0.61,0.82,2.45,2.67,1.28,3.5,0.6,2.1,2.1,2.7,1.4,0.2,2.2,3.5,4.4,1.4,0.5,5.5,2.5,0.4,1.8,0.9,3.7,4.1,1.6,3,4.5,1.4,3.3,3.3,1.1,2.3,1.6,1.1,2,3.2,0.6,0.6,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.54,0.66,2.07,1,2.97,2.23,3.86,1.73,2.3,0.2,1.25,,3.2,2.1,2,5.1,1.8,3.8,1.9,2.5,1.8,0.8,4.5,3.4,1.6,1.3,0.9,2.7,3.7,1.7,1.4,2.2,2.9,1.2,3,3.3,5,2.2,1,2,2,2,2.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.65,3.3,4.59,5.9,4.65,3.2,4.1,4.86,1.3,2.2,4.05,,3.6,3.8,1.7,0.5,1.2,2,1.1,2.1,3.1,2.4,3.4,0.9,1.5,2.6,2.6,2.7,1.9,6.5,1.7,1.7,3.7,1.4,0.8,0.6,1.4,0.4,3.5,1.2,2.85,0.8,2.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.84,3.21,1.83,3.3,3,3.5,2.9,1.27,4.28,3.4,1.45,,3.6,0.4,1.9,3.3,4.9,7.2,0.3,1,1.7,3.4,3.7,3.8,2.4,3.7,1.6,5.1,0.7,8.1,4.3,3.1,4.5,4.05,5.9,1.1,3.1,2.4,6.2,4.9,3.25,3,1.3,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.85,4.3,4.58,4.9,2.09,3.94,4.4,2.15,4.38,1.1,2.6,,4.15,3.8,0.8,3.8,3.2,2.1,4.7,1.1,1.4,2.8,3.2,4.4,5.7,1.9,3.6,9.7,5.3,3.1,0.6,6.6,1.4,3,1.7,2.6,0.7,2.1,2,5,4.6,6.4,5.35,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.4,2.08,2.31,2.52,1,0.65,6.89,5.55,4.58,2,1,,1.6,3.2,3.6,0.7,3.2,2.4,4.1,4.8,1.9,3.3,6.5,4.1,2.5,3.3,4.8,1.4,3.6,1.9,3.2,3.7,2.6,3,3.4,2.8,2.9,4.8,0.7,1,2.2,5,1.25,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.65,2.19,3.32,5.23,2.49,3.69,1.04,1.97,5.1,4.5,3.8,,5.5,3.1,9.8,5.7,1.6,2.3,2.2,2,2.5,2.7,3.8,4.8,3,2.9,2.8,2.6,2.5,1.4,4.3,2,2.6,2.4,1.6,2.3,5.7,1.9,1.3,4.2,2.15,2.3,4.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
