YEOVIL-RECKLEFORD-SCHOOL-(GRASS-ROYAL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST564166,Long,-2.62174,Lat,50.94718,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.27,3.37,4,7.28,2.07,2.24,3.27,2.57,4.53,0.68,0.47,2.58,2.44,,,,,,,,
February,,,,,,,,,,3.37,3.67,0.23,1.48,0.6,1.8,1.68,1.1,1.1,1.26,6.08,5.47,0.55,,,,,,,,
March,,,,,,,,,,2.09,2.73,2.58,0.84,0.19,1.11,0.73,6.17,1.3,1.38,1.06,2.84,2.68,,,,,,,,
April,,,,,,,,,,2.21,2.37,2.05,0.9,1.13,0.7,2.79,2.17,1.54,1.37,2.03,2.95,2.17,,,,,,,,
May,,,,,,,,,0.69,2.96,2.28,4.55,2.52,1.43,3.73,3.57,2.05,4.18,1.96,1.8,2.93,3.43,,,,,,,,
June,,,,,,,,,2.51,0.63,2.68,0.58,1.98,1.93,2.52,2.81,1.92,1.46,0.22,1.32,0.98,2.25,,,,,,,,
July,,,,,,,,,5.2,2.81,2.19,2,2.96,2.08,1.92,1.21,2.14,1.15,2.55,4.37,2.67,0.81,,,,,,,,
August,,,,,,,,,3.14,0.06,3.54,4.71,3.27,3.17,2.26,3.57,1.13,4.24,1.33,4.14,5.07,3.37,,,,,,,,
September,,,,,,,,,1.23,1.37,1.22,2.04,3.19,1.51,3.06,4.4,1.4,2.04,2.89,3.66,2.97,3.09,,,,,,,,
October,,,,,,,,,4.35,4.34,1.51,3.65,4.18,4.33,3.4,0.88,0.59,3.47,7.88,1.22,1.12,3.74,,,,,,,,
November,,,,,,,,,5.42,7.63,1.98,1.42,2.29,5.79,1.17,5.88,1.45,2.05,3.79,5.26,9.23,3.49,,,,,,,,
December,,,,,,,,,2.15,3.28,1.67,4.51,2.66,3.06,3.83,3.62,2.64,6.63,1.15,2.16,3.13,2.59,,,,,,,,
Total,,,,,,,,,,33.02,29.21,32.32,33.55,27.29,27.74,34.41,25.33,33.69,26.46,33.57,41.94,30.61,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Apr Gauge moved 0.5 miles ENE from Reckleford School mid month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Gauge seems to have moved back to Reckleford Junior School (elevation changes Distance to church and station changes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note says Station Number Change between 1952 and 1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Note says observer says gauge is in best site available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A note on the sheet says 'No average Erratic',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
