"YEOVIL (RECKLEFORD JUNIOR SCHOOL)",,,,,,,,,,,,
Grid ref,ST560162,Long,-2.627649,Lat,50.943550,,,,,,,
Station no,2059,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.58,2.44,0.80,2.08,3.96,4.69,3.67,2.85,3.93,3.75,,
February,5.47,0.55,1.42,2.75,2.17,0.24,5.12,3.97,0.24,4.58,,
March,2.84,2.68,0.64,4.10,1.95,1.05,2.47,0.95,3.16,2.24,,
April,2.95,2.17,3.59,0.32,1.11,1.81,0.29,0.43,3.58,3.00,,
May,2.93,3.43,2.49,2.00,4.56,0.54,1.44,2.62,1.78,1.54,,
June,0.98,2.25,2.61,2.97,2.70,2.26,1.94,5.45,0.84,1.51,,
July,2.67,0.81,3.59,2.33,3.35,2.39,3.33,2.16,1.77,3.62,,
August,5.07,3.37,2.11,2.35,1.62,4.34,2.38,2.34,2.12,5.91,,
September,2.97,3.09,3.64,2.78,1.59,5.59,4.10,6.23,0.09,4.70,,
October,1.12,3.74,3.21,2.30,3.04,2.53,2.79,2.88,3.90,9.38,,
November,9.23,3.49,1.52,8.86,5.57,0.82,2.97,3.46,6.40,5.62,,
December,3.13,2.59,0.65,3.80,5.12,3.61,3.73,4.42,8.77,3.91,,
Total,41.94,30.61,26.27,36.64,36.74,29.87,34.23,37.76,36.58,49.76,,
Calc annual,41.94,30.61,26.27,36.64,36.74,29.87,34.23,37.76,36.58,49.76,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
