THAKEHAM-HIGH-BAR,,,,,,,,,,
Grid ref,TQ099168,Long,-0.437183,Lat,50.94018,Elevation,125,ft,,
Station no,451/8/1/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.43,3.53
February,,,,,,,,,0.39,3.8
March,,,,,,,,,2.39,1.97
April,,,,,,,,,2.94,1
May,,,,,,,,,0.64,1.49
June,,,,,,,,,1.42,1.89
July,,,,,,,,,1.2,4.17
August,,,,,,,,,1.6,5.02
September,,,,,,,,,0.11,4.25
October,,,,,,,,,3.25,8.49
November,,,,,,,,,3.77,7.7
December,,,,,,,,,8.83,4.76
Total,,,,,,,,,29.97,48.07
