SALISBURY-WILTON-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU099309,Long,-1.860059,Lat,51.07734,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,3.13,2.29,,,,,,,,,,,,,,,,,,,,,,1.91,4.1,6.84,4.95,4.3,4.51,2.35,2.89,7.33,5.59,2.8,4.71,1.75,7.58,1.72,4.25,0.56,2.89,1.48,3.17,3.96,2.94,3.5,2.93,1.06,0.9,4.12,1.97,1.31,2.07,2.67,3.79,0.91,,,,,,,,,,,,,,,,,,,,,,5.18,6.51,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,2.72,2.88,,,,,,,,,,,,,,,,,,,,,,1.54,2.61,5.08,3.07,1.19,2.97,3.4,1.81,2.82,1.92,3,2.56,3.38,1.68,2.34,4.19,4.04,3.89,2.2,5.69,2.83,4.21,0.87,0.72,1.19,2.1,0.98,0,1.83,4.23,2.57,0.12,0.31,,,,,,,,,,,,,,,,,,,,,,1.92,3.37,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,3.04,3.15,,,,,,,,,,,,,,,,,,,,,,2.8,1.28,2.67,3.89,3.03,1.68,1.89,1.61,3.05,3.25,0.6,1.54,3.52,2.03,1.51,0.42,0.73,2.68,1.32,1.27,3.01,1.87,2.4,1.93,3.55,2.61,1.46,1.87,0.85,0.58,1.85,2.2,3.58,,,,,,,,,,,,,,,,,,,,,,1.54,5.9,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.91,0.17,,,,,,,,,,,,,,,,,,,,,,2.56,1.01,2.96,2.19,2.97,0.96,0.44,4.58,2.21,1.01,2.1,1.54,2.57,3.85,2.57,3.4,1.79,0.56,4.53,1.22,1.81,2.21,2.45,1.09,2.13,2.78,2.69,0.82,0.64,0.1,4.09,2.75,0.85,,,,,,,,,,,,,,,,,,,,,,3,2.39,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.77,1.95,,,,,,,,,,,,,,,,,,,,,,1.33,2.82,1.24,2.07,1.6,3.58,1.21,0.72,2.81,1.35,0.8,1.69,0.28,3.39,5.64,2.63,0.4,1.11,2.2,1.92,0.92,3.27,3.5,1.2,2.25,2.12,2.37,2.99,0.85,1.16,1.66,0.1,0.21,,,,,,,,,,,,,,,,,,,,,,2.15,0.64,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.12,1.58,,,,,,,,,,,,,,,,,,,,,,1.3,1.87,1.42,1.4,0.51,1.19,0.4,1.98,3.49,2.45,1.2,2.98,1.04,0.79,4.15,5.66,2.2,1.91,3.91,1.81,3.44,1.67,0.63,0.93,2.72,2.1,2.48,1.52,1.23,1.06,2.47,1.1,1.76,,,,,,,,,,,,,,,,,,,,,,1.27,0.9,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,1.69,2.18,,,,,,,,,,,,,,,,,,,,,,0.44,1.83,2.43,3.71,0.67,0.58,1.32,4.93,3,1.39,0.9,4.06,0.36,4.44,1.1,3.74,4.63,2.06,3.68,4.58,2.35,0.15,1.93,0.69,5.58,2.8,3.32,2.85,1.75,3.37,4.48,3.3,0.75,,,,,,,,,,,,,,,,,,,,,,6.68,2.27,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.83,2.44,,,,,,,,,,,,,,,,,,,,,,1.35,3.4,2.69,2.04,5.81,0.79,1.98,2.04,2.43,2.65,2.5,2.29,2.45,3.33,4.83,4.95,1.34,6.45,1.71,0.91,1.65,1,1.21,1.42,1.65,2.29,3.02,5.76,3.45,1.25,2.16,2.22,2.41,,,,,,,,,,,,,,,,,,,,,,2.81,3.15,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,6.53,2.7,,,,,,,,,,,,,,,,,,,,,,2.1,0.09,7.58,2.32,5.4,5.49,1.39,4.74,1.77,1.99,4.3,2,5.05,2.76,1.59,3.54,2.88,1.82,2.74,3.69,1.19,4.29,2.31,2.1,1.43,1.48,1.56,1.57,2.2,1.73,2.17,1.29,5.7,,,,,,,,,,,,,,,,,,,,,,7.16,1.54,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,4.53,0.88,,,,,,,,,,,,,,,,,,,,,,1.89,7.14,1.72,3.8,3.25,3.12,5.62,2.77,5.89,1.98,5.1,6.03,2.34,2.1,3.81,0.85,5.59,1.51,8.04,3.06,0.82,3.93,4.87,1.77,1.86,3.78,0.86,9.3,5.54,3.64,3.47,3.39,2.95,,,,,,,,,,,,,,,,,,,,,,2,0.88,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
