"GLASGOW RUCHILL PARK",,,,,,,,,,,,
Grid ref,NS578684,Long,-4.275161,Lat,55.887680,,,,,,,
Station no,5180,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.77,3.56,2.51,4.70,2.86,4.74,5.03,,
February,,,,6.28,2.39,2.56,2.70,2.57,2.76,1.86,,
March,,,,6.77,1.46,3.31,3.41,4.14,4.15,2.83,,
April,,,,1.06,4.54,2.65,1.35,1.53,1.16,3.65,,
May,,,,2.81,3.39,2.13,4.47,3.80,3.47,2.36,,
June,,,,2.10,1.89,0.65,1.71,4.33,3.02,3.25,,
July,,,,3.08,3.68,2.93,2.25,2.55,2.12,3.59,,
August,,,,5.93,4.06,3.93,5.00,5.68,2.42,3.08,,
September,,,,3.97,3.17,2.75,2.10,1.45,5.80,1.96,,
October,,,,7.65,1.87,2.54,5.07,6.66,1.97,5.64,,
November,,,,2.91,2.20,3.70,4.70,2.41,2.82,2.17,,
December,,,,2.85,3.19,3.49,4.11,5.82,3.16,4.54,,
Total,,,,52.18,35.40,33.15,41.57,43.80,37.59,39.96,,
Calc annual,0.00,0.00,0.00,52.18,35.40,33.15,41.57,43.80,37.59,39.96,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
