"GLASGOW (RUCHILL PARK)",,,,,,,,,,,,
Grid ref,NS578684,Long,-4.275161,Lat,55.887680,,,,,,,
Station no,5180,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.20,4.71,1.20,5.37,2.83,2.71,5.81,3.80,1.36,3.31,,
February,2.33,1.55,1.38,3.63,2.18,1.35,2.88,2.59,1.53,3.17,,
March,2.49,2.32,0.85,2.38,1.66,2.29,4.39,1.25,1.73,2.12,,
April,1.92,2.06,1.86,1.72,1.67,1.05,2.18,1.26,3.07,3.02,,
May,1.76,1.89,2.04,3.44,3.21,1.81,3.04,3.18,1.04,2.94,,
June,2.33,2.90,2.11,3.19,2.05,2.88,2.18,3.03,2.82,2.61,,
July,3.94,3.02,5.04,3.16,1.44,5.49,3.10,4.68,4.47,3.51,,
August,4.35,3.83,3.46,6.40,1.00,5.44,4.07,5.18,0.55,3.97,,
September,3.23,2.77,3.33,5.19,3.47,5.18,2.75,3.45,1.37,2.29,,
October,0.99,4.05,2.41,9.66,2.80,2.93,4.13,3.15,4.76,3.00,,
November,6.24,2.19,6.22,6.16,1.92,1.61,1.56,1.96,5.35,4.86,,
December,5.57,3.42,4.60,5.01,6.53,4.66,4.25,4.63,6.14,4.45,,
Total,40.35,34.71,34.50,55.31,30.76,37.40,-999.00,38.16,34.19,39.25,,
Calc annual,40.35,34.71,34.50,55.31,30.76,37.40,40.34,38.16,34.19,39.25,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-1039.34,0.00,-0.00,0.00,,
