GOUDHURST BRANDFOLD,,,,,,,,,,,,
Grid ref,TQ723390,Long,0.460776,Lat,51.124371,,,,,,,
Station no,RR6904,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.31,1.94,0.89,,
February,,,,,,,,1.83,1.11,0.55,,
March,,,,,,,,0.97,2.97,4.34,,
April,,,,,,,,3.27,2.61,1.92,,
May,,,,,,,,3.68,1.65,1.46,,
June,,,,,,,,1.86,1.96,3.40,,
July,,,,,,,,1.51,3.22,3.38,,
August,,,,,,,,1.94,5.01,2.48,,
September,,,,,,,,1.28,1.73,4.48,,
October,,,,,,,,5.20,2.25,7.27,,
November,,,,,,,,2.42,1.19,1.14,,
December,,,,,,,,3.41,3.36,5.27,,
Total,,,,,,,,28.68,29.00,36.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.68,29.00,36.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
