GOUDHURST-BRANDFOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ723390,Long,0.4607765,Lat,51.124371,Elevation,238,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.31,1.94,0.89,3.47,1.67,3.04,5.1,0.78,3.49,1.56,1.58,3.95,5.62,4.24,,,,,,,,,,
February,,,,,,,,1.83,1.11,0.55,4.34,1.45,2.46,1.09,4.8,5.84,5.81,0.81,1.06,1.94,0.61,,,,,,,,,,
March,,,,,,,,0.97,2.97,4.34,1.79,2.79,5.37,2.77,6.28,0.71,3.36,1.37,1.06,4.14,1.58,,,,,,,,,,
April,,,,,,,,3.27,2.61,1.92,2.03,2.56,0.03,2.76,1.55,1.39,1.54,2.25,2.66,3.64,2.99,,,,,,,,,,
May,,,,,,,,3.68,1.65,1.46,3.07,1.25,0.77,0.87,1.08,5.6,1.72,2.76,1.72,0.38,0.93,,,,,,,,,,
June,,,,,,,,1.86,1.96,3.4,2.25,2.45,3.38,0.36,0.77,0.46,2.75,2.51,0.54,0.78,1.11,,,,,,,,,,
July,,,,,,,,1.51,3.22,3.38,2.52,1.1,1.74,2.37,2.37,3.8,1.34,4.84,4.9,2.8,4.1,,,,,,,,,,
August,,,,,,,,1.94,5.01,2.48,2.62,1.65,8.18,1.58,0.77,2.04,2.28,4.82,1.51,3.6,1.58,,,,,,,,,,
September,,,,,,,,1.28,1.73,4.48,0.52,1.61,3.94,1.95,0.91,3.58,1.17,1.34,5.42,1.15,3.36,,,,,,,,,,
October,,,,,,,,5.2,2.25,7.27,3.18,6.36,4.73,4.36,2.96,1.82,5.62,4.44,2.67,0.7,1.94,,,,,,,,,,
November,,,,,,,,2.42,1.19,1.14,5.07,6.39,3.32,4.47,4.86,4.18,5.06,1.71,2.87,3.14,2.19,,,,,,,,,,
December,,,,,,,,3.41,3.36,5.27,4.58,7.28,4.51,1.38,9.41,8.78,4.58,2.63,2.37,4.07,3.21,,,,,,,,,,
Total,,,,,,,,28.68,29,36.58,35.44,36.56,41.47,29.06,36.54,41.69,36.79,31.06,30.73,31.96,27.84,,,,,,,,,,
