EARLS CROOME COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SO869420,Long,-2.192554,Lat,52.076205,Elevation,58,ft,,,,,,,,,,,,
Station no,2397/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.08,3.04,4.65,3.14,2.45,2.36,5.34,1.94,1.09,2.1,1.88,,,
February,,,,,,,3.88,0.59,1.04,4.57,2.15,0.27,1.62,0.8,1.74,1.77,1.31,,,
March,,,,,,,3,0.17,1.64,1.36,1.96,2.15,1.2,0.27,0.82,0.67,4.62,,,
April,,,,,,,2,0.14,1.84,3.39,0.82,1.14,1.08,1.3,0.91,2.62,2.25,,,
May,,,,,,,2.1,1.79,1.14,2.71,1.79,3.34,2.98,0.5,2.39,2.79,1.94,,,
June,,,,,,,0.96,1.18,1.84,0.81,2.52,0.05,1.43,1.71,2.55,2.08,1.51,,,
July,,,,,,,3.1,2.34,4.45,1.15,1.28,1.49,0.99,2.73,1.93,1.36,2.19,,,
August,,,,,,,0.25,2.72,2.78,0.37,3.63,2.65,1.51,3.35,1.67,4.78,0.91,,,
September,,,,,,,2.85,1.46,0.1,0.59,0.51,1.62,1.19,2.57,2.06,3.16,1.64,,,
October,,,,,,,2.38,2.5,3.16,3.61,2.22,2.1,2.02,3.23,3.25,0.62,0.38,,,
November,,,,,,,1.7,2.42,3.88,4.8,2.22,0.98,1.42,4.54,0.53,4.51,1.33,,,
December,,,,,,,1.61,3.26,2.4,1.22,1.37,4.18,1.17,1.77,2.86,0.74,1.88,,,
Total,,,,,,,26.91,21.61,28.92,27.72,22.92,22.33,21.95,24.71,21.8,27.2,21.84,,,
