TILFORD-BROWNHOLM-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SU887445,Long,-0.7313,Lat,51.19333,Elevation,300,ft,,,,,,,,,,,,
Station no,187/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.15,5.2,3.17,3.03,3.45,6.27,2.01,2.08,2.57,2.44,5.32,,
February,,,,,,,,0.55,2.35,3.09,2.78,0.88,1.53,0.83,2.21,2.59,1.43,1.56,,
March,,,,,,,,0.24,1.26,3.22,3.65,2.04,0.52,0.18,0.84,1.24,5.17,0.97,,
April,,,,,,,,0.14,2.77,1.7,1.31,1.55,1.22,1.1,1.27,2.55,2.43,1.9,,
May,,,,,,,,1.3,1.61,1.81,2.92,3.29,3.21,0.73,1.54,3.49,1.64,2.8,,
June,,,,,,,,0.66,1.69,1.01,1.58,0.22,1.32,1.66,2.29,2.61,2.03,1.93,,
July,,,,,,,,1.88,3.27,3.04,2.65,1.69,1.77,1.7,5.52,2.03,1.38,1.01,,
August,,,,,,,,1.83,2.63,0.02,4.63,3.26,1.43,1.79,1.01,5.01,0.37,3.7,,
September,,,,,,,,1.37,0.67,1.8,0.15,1.55,1.69,2.67,2.97,4.58,1.62,1.61,,
October,,,,,,,,3.15,4.68,4.05,1.17,3.23,3.03,4,3.45,0.88,0.5,2.22,,
November,,,,,,,,5.02,5.42,8.4,3.38,1.87,1.82,4.41,0.38,5.64,1.19,1.55,,
December,,,,,,,4.75,4.17,1.27,1.6,1.97,3.96,1.79,1.51,4.04,3.18,2.98,4.54,,
Total,,,,,,,,23.46,32.82,32.91,29.22,26.99,25.6,22.59,27.6,36.37,23.18,29.11,,
,,,,,,,,,,,,,,,,,,,,
New Gauge assumed to be near old one,,,,,,,,,,,,,,,,,,,,
