ROSS BROAD ST,,,,,,,,,,,,,,,,,,,,
Grid ref,SO600243,Long,-2.5821,Lat,51.9158,Elevation,140,ft,,,,,,,,,,,,
Station no,RR1773,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,5.2,3.62,2.82,4.21,3.81,2.05,0.55,1.69,3.98,0.8,2.8,3.95,1.35,4.2,,,,
February,,,1,0.96,0.63,,2.45,2.1,1.05,1.4,0.8,3.35,0.9,0.85,1.35,1.85,,,,
March,,,0.24,0.71,0.31,,1.3,2.91,0.8,2.4,2.2,2.85,4.1,0.95,3.15,1.1,,,,
April,,,0.5,1.83,0.18,0.59,2.8,2.85,5.1,2.6,1.65,0.6,2.85,1.71,0.98,0.81,,,,
May,,,1.85,4.13,1.23,,3.25,2.55,2.45,1.75,2.6,1.51,4.3,0.85,0.9,2.85,,,,
June,,,5.13,3.21,1.73,2.61,1.43,2.45,1.45,2.15,5.9,2.2,3.05,4.85,1.25,1.65,,,,
July,,,3.22,3.1,4.38,5.28,1.11,2.15,1.24,1.6,1.95,5.7,1.95,0.73,0.8,2.75,,,,
August,,,4.52,2.8,0.72,1.27,5.55,3.61,5.56,3.25,4.55,1.15,1.65,2.7,0.87,3.65,,,,
September,,,2.71,2.02,1.21,1.84,3.05,2.1,3.05,3.47,2.4,1.85,4.8,3.3,2.55,0,,,,
October,,,3.82,4.12,1.42,4.81,3.1,3.3,3.3,3,1.85,2.2,3.85,3.75,2.65,5.3,,,,
November,,,8.75,2.18,2.13,,0.8,2.4,1,4.05,3,3,0.85,2.27,3.1,3.95,,,,
December,,,4.15,1.82,1.24,,4.4,0.8,2.2,3.25,5.09,3.45,1.88,1.35,2.05,2.53,,,,
Total,,,41.09,30.5,18,,33.05,29.27,27.75,30.61,35.97,28.66,32.98,27.26,21,30.64,,,,
