BRINKLEY HALL,,,,,,,,,,,,
Grid ref,TL630549,Long,0.381974,Lat,52.168294,,,,,,,
Station no,RR7272,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.72,0.79,,
February,,,,,,,,,1.38,0.44,,
March,,,,,,,,,1.95,2.62,,
April,,,,,,,,3.07,2.87,1.66,,
May,,,,,,,,3.17,1.22,1.33,,
June,,,,,,,,1.70,0.87,3.48,,
July,,,,,,,,1.64,3.20,3.13,,
August,,,,,,,,2.46,1.97,2.37,,
September,,,,,,,,0.46,1.34,2.52,,
October,,,,,,,,2.49,1.28,3.66,,
November,,,,,,,,2.36,0.92,0.66,,
December,,,,,,,,2.86,2.12,3.57,,
Total,,,,,,,,,19.84,26.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.21,19.84,26.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
