BRINKLEY-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL630549,Long,0.38197388,Lat,52.168294,Elevation,380,ft,,,,,,,,,,,,
Station no,RR7272,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.72,0.79,1.52,1.53,2.8,2.51,1.85,2.83,,,,
February,,,,,,,,,1.38,0.44,2.08,1.07,1.16,0.73,1.39,2.51,,,,
March,,,,,,,,,1.95,2.62,0.85,2.06,3.06,1.6,3.5,,,,,
April,,,,,,,,3.07,2.87,1.66,1.97,0.85,0.15,1.31,0.62,,,,,
May,,,,,,,,3.17,1.22,1.33,3,1.48,1.4,2.35,1.42,1.67,,,,
June,,,,,,,,1.7,0.87,3.48,1.9,2.6,2.72,1.25,2,3.01,,,,
July,,,,,,,,1.64,3.2,3.13,2.5,0.4,2.25,1.39,1.62,3.31,,,,
August,,,,,,,,2.46,1.97,2.37,2.82,1.63,7.5,1.09,1,2.92,,,,
September,,,,,,,,0.46,1.34,2.52,1.66,1.36,2.29,1.75,0.74,1.59,,,,
October,,,,,,,,2.49,1.28,3.66,1.74,2.8,2.47,3.37,2,1.22,,,,
November,,,,,,,,2.36,0.92,0.66,2.37,2.82,2.17,2.11,3.71,2.31,,,,
December,,,,,,,,2.86,2.12,3.57,3.57,3.61,2.49,0.65,5.33,3.61,,,,
Total,,,,,,,,,19.84,26.23,25.98,22.21,30.46,20.11,25.18,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,
