GLASGOW,,,,,,,,,,
Grid ref,NS 56328 67387,Long,-4.298143,Lat,55.878148,Elevation,180,ft,,
Station no,RR6597,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,6.5,,,,,,,
February,,,3.9,,,,,,,
March,,,0.7,,,,,,,
April,,,0.4,,,,,,,
May,,,2.7,,,,,,,
June,,,3.1,,,,,,,
July,,,5.6,,,,,,,
August,,,4.8,,,,,,,
September,,,1.1,,,,,,,
October,,,1.8,,,,,,,
November,,,5.3,,,,,,,
December,,,9.6,,,,,,,
Total,,,45.5,,,,,,,
,,,,,,,,,,
"Climate and Mortality of Glasgow , 1851.",,,,,,,,,,
"By ROBERT DUNDAS THOMSON , F.R.S.E. ,",,,,,,,,,,
Lecturer on Chemistry in the University of Glasgow .,,,,,,,,,,
The Edinburgh Philosophical Journal: Volume 40,,,,,,,,,,
Jan 1852 page 243,,,,,,,,,,
https://play.google.com/books/reader?id=LlJTAAAAcAAJ&pg=GBS.PA242&hl=en_GB,,,,,,,,,,
"Determining Location is difficult but in the article,",,,,,,,,,,
 Thomson also provides Prevailing winds, air temperature and pressure,,,,,,,,,
 as the University had an Observatory at this time,,,,,,,,,,
 it is reasonable to assume readings were taken there,,,,,,,,,,
