"MERTON (JOSEPH HOOD REC GROUND)",,,,,,,,,,,,
Grid ref,TQ240688,Long,-0.218678,Lat,51.404681,,,,,,,
Station no,156,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.07,1.79,1.13,1.23,2.07,3.41,1.59,1.80,1.81,1.76,,
February,5.82,1.01,2.06,2.03,1.35,0.38,2.79,2.18,0.06,1.49,,
March,3.07,3.29,0.49,2.07,0.92,0.81,0.72,1.00,1.80,1.77,,
April,2.69,1.32,2.33,0.36,0.27,1.05,0.33,1.27,1.75,0.68,,
May,2.15,1.81,1.31,3.25,3.79,0.27,1.46,2.16,0.76,2.08,,
June,1.07,2.38,1.05,3.97,2.36,2.32,1.17,3.34,0.99,1.41,,
July,1.85,0.65,3.31,3.02,1.20,5.10,3.26,2.43,0.97,3.31,,
August,2.58,3.08,1.34,2.70,1.07,2.73,3.74,3.21,1.47,4.28,,
September,3.36,3.39,2.38,2.20,1.88,1.99,2.27,4.11,0.06,3.01,,
October,0.86,2.64,2.07,2.16,2.54,1.68,1.79,2.75,2.14,4.70,,
November,5.87,3.10,1.05,3.62,0.60,0.56,2.32,1.67,2.99,3.54,,
December,2.04,2.30,0.85,1.55,1.95,2.39,1.89,2.60,3.33,2.38,,
Total,34.43,26.76,19.37,28.16,20.00,22.69,23.33,28.52,18.13,30.41,,
Calc annual,34.43,26.76,19.37,28.16,20.00,22.69,23.33,28.52,18.13,30.41,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
