BEINN LEABHAIN,,,,,,,,,,
Grid ref,NN571283,Long,-4.318523,Lat,56.425207,Elevation,2050,ft,,
Station no,5555/24,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.2,6.62
February,,,,,,,,,3.05,8.49
March,,,,,,,,,5.58,3.66
April,,,,,,,,,5.7,9.11
May,,,,,,,,,2,5.05
June,,,,,,,,,2.99,3.51
July,,,,,,,,,6.56,3.85
August,,,,,,,,,3.47,4.81
September,,,,,,,,,1.8,4.96
October,,,,,,,,,6.65,7.92
November,,,,,,,,,11.3,10.25
December,,,,,,,,,15.05,6.94
Total,,,,,,,,,68.35,75.17
,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5555/24,,,,,,,,,
Midas,15082,,,,,,,,,
Hyd Stn,860625,,,,,,,,,
