BEINN LEABHAIN,,,,,,,,,,
Grid ref,NN567285,Long,-4.325112,Lat,56.426881,Elevation,1850,ft,,
Station no,5555/2/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,6.65,3.5,6,5.95,4.2,13.35,7.8,3.6,5.52
February,,1.5,2.8,5.9,1.15,2.15,6.9,3.85,2.8,7.61
March,,6.9,1.3,4.35,2.3,3.55,6.7,2.85,6.78,3.49
April,,3.85,3.65,2,4,1.95,2.75,2.65,5.5,8.32
May,,3.75,5.45,6.4,4.35,4.3,3.15,4.75,1.99,4.87
June,,5.05,3.15,3.35,2.7,5.55,2.3,3.9,2.95,3.77
July,,2.7,5.25,3,1,6.95,5.45,6.5,5.07,5.15
August,,5.85,6,4.95,1.55,7.55,7.35,7.2,3.51,4.73
September,,3.05,7.35,8.1,4.9,5.92,4.3,6.75,1.65,4.86
October,,8,6.8,11.75,5.25,4.18,5.4,6.5,6.55,7.96
November,,2.25,10,13.65,4.65,3.2,2.3,2,11.45,10.21
December,,5.75,8.35,11.55,11.1,11.85,9.95,7.26,15.08,6.76
Total,,55.3,63.6,81,48.9,61.35,69.9,62.01,66.93,73.25
,,,,,,,,,,
BR 1952 P,,,,,,,,,,
BR 1956 NP low,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 NP Low,,,,,,,,,,
BR 1959 NP Check G,,,,,,,,,,
BR 1960 NP Check G,,,,,,,,,,
,,,,,,,,,,
Station no,5555/2/5,,,,,,,,,
Midas,15083,,,,,,,,,
Hyd Stn,860626,,,,,,,,,
