DUNKELD (KINCAIRNEY LODGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 09135 43883,Long,-3.480698,Lat,56.578054,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.52,3.84,3.68,4.75,3.37,3.51,1.02,4.63,5.51,6.45,,1.96,2.86,4.31,,,,,,,,
February,,,,,,,,,,1.09,0.75,1.27,0.13,2.42,0.14,2.14,2.23,3.33,1.75,,2.31,5.33,1.5,,,,,,,,
March,,,,,,,,,,0.8,1.7,1.58,2.16,1.26,2.4,1.94,2.28,2.21,0.87,,2.78,2.17,2.94,,,,,,,,
April,,,,,,,,,,0.88,1.57,2.28,3.02,1.35,2.93,2.92,0.74,1.45,0.31,,2.29,1.39,2.49,,,,,,,,
May,,,,,,,,,,2.51,2.32,4.98,3.38,1.8,2.04,0.42,0.7,3.22,3.78,,3.28,2.36,4.07,,,,,,,,
June,,,,,,,,,,1.57,1.3,5.53,0.54,1.52,1.36,3.76,3.67,1.63,3.6,,0.45,1.16,1.54,,,,,,,,
July,,,,,,,,,,1.97,2.62,5.78,3.03,3.11,4.01,0.74,3.23,4.79,4.27,,6.69,3.51,3.29,,,,,,,,
August,,,,,,,,,,3.9,5.62,1.36,2.13,1.3,4.31,1.89,1.75,4.31,1.75,,1.33,3.37,,,,,,,,,
September,,,,,,,,,,0.77,3.7,1.21,1.77,1.94,2.86,4.06,4.84,2.09,4.79,,1.97,1.64,,,,,,,,,
October,,,,,,,,,,4.53,3.64,2.23,5.72,3.13,3.06,4.52,2.2,3.86,5.65,,3.66,4.03,,,,,,,,,
November,,,,,,,,,,3.48,2.6,8.54,2.16,2.89,0.34,4.32,1.87,0.5,5.32,,5.73,4.08,,,,,,,,,
December,,,,,,,,,,6,3.13,1.52,6.36,0.78,4.64,3.46,4.21,1.92,3.74,,2.67,2.35,,,,,,,,,
Total,,,,,,,,,,29.02,32.79,39.96,35.15,24.87,31.6,31.19,32.35,34.82,42.28,,35.12,34.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Ja - Mar adj for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
