DUNKELD (KINCAIRNEY HOUSE),,,,,,,,,,,
Grid ref,NO 08640 44143,Long,-3.488849,Lat,56.580288,Elevation,500,ft,,,
Station no,5551,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.89,2.53,4.15,3.35,,,
February,,,,,1.31,5.42,5.48,2.52,,,
March,,,,1.11,0.55,1.13,0.97,2.91,,,
April,,,,2.71,2.38,4.42,2.62,1.25,,,
May,,,,2.22,5.2,4.28,3.02,2.44,,,
June,,,,0.58,1.93,0.47,3.28,3.49,,,
July,,,,2.66,5.16,3.12,2.34,3.3,,,
August,,,,5.19,5.24,4.8,2.89,5.97,,,
September,,,,4.08,4.62,3.68,3.79,3.45,,,
October,,,,4.42,3.98,4.44,4.53,4.54,,,
November,,,,,1.81,1.12,6.61,2.68,,,
December,,,,,6.35,3.52,0.47,1.43,,,
Total,,,,,41.42,38.93,40.15,37.33,,,
,,,,,,,,,,,
1923 J f N D corrected for snow Doubtful in places deleted,,,,,,,,,,,
1924 Ap May Interpolated,,,,,,,,,,,
1925 Dec corrected gy surr stns,,,,,,,,,,,
,,,,,,,,,,,
Station no,5551,,,,,,,,,,
Midas,,,,,,,,,,,
Hyd stn,,,,,,,,,,,
