GLENAPP CASTLE GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX092806,Long,-4.99081,Lat,55.083056,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5266/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.73,4.05,3.66,5.88,3.41,6.25,8.78,5.4,4.03,,,,,,4.33,8.13,6.9,9.57,4.27,3.27,4.42,7.17,2.77,4.36,3.55,,,,,
February,3.96,0.1,3.97,0.77,4.67,2.55,7.9,2.71,3.91,,,,,1.68,4.95,3.26,0.4,2.31,4.33,3.99,4.19,1.29,1.67,5.52,4.77,,,,,
March,1.33,3.3,3.51,2.82,1.74,3.2,1.99,1.65,4.34,,,,,0.56,2.66,2.05,5.57,4.16,4.13,2.76,4.59,2.86,0.53,4.57,1.55,,,,,
April,1.68,4.15,2.07,3.47,3.31,1.1,3.4,0.55,2.17,,,,,2.57,1.35,1.07,5.22,2.24,4.22,3.47,2.38,2,2.6,1.46,3.41,,,,,
May,2.71,3.06,2.27,5.81,0.66,3.99,1.24,2.76,1.4,,,,,2.74,3.52,0.72,4.47,1.88,2.23,2.4,3.05,2.6,3.14,2.83,3.57,,,,,
June,4.97,2.52,2.97,2.29,3.02,3.64,2.77,5.02,2.35,,,,,4.08,4.04,3.57,4.12,4.89,1.3,2.84,1.95,3.02,1.41,5.2,3.03,,,,,
July,2.82,5.72,3.6,2.17,2.38,6.22,5.57,6.36,3.53,,,,,2.92,2.71,4.56,4.58,4.44,2.59,4.31,2.17,3.11,6.29,4.85,1.95,,,,,
August,2.25,1.46,4.57,5.46,1.5,4.38,3.65,2.49,1.62,,,,,4.07,1.5,3.3,0.07,3.91,4.06,5.82,7.31,6.01,3.14,,1.43,,,,,
September,2.34,6.78,1.12,7.54,5.28,4.8,2.96,5.37,2.62,,,,,4.99,5.27,6.45,4.04,5.57,3.24,11.9,4.41,3.01,7.73,,,,,,,
October,3.57,8.28,4.3,6.46,7.46,4.67,4.11,8.42,3.39,,,,,6.61,,0.57,1.67,6.85,6.67,5.45,1.05,4.35,6.13,,,,,,,
November,12.33,4.27,3.56,1.69,6.73,6.17,2,5.98,6.35,,,,,6.83,,7.86,6.75,3.44,6.44,4.31,9.95,2.94,6.69,,,,,,,
December,5.43,8.81,3.42,10.9,4.36,5.45,4.33,5.55,3.15,,,,,8.41,,7.01,2.77,6.55,6.97,3.35,9.1,5,5.07,7.57,,,,,,
Total,47.12,52.5,39.02,55.26,44.52,52.42,48.7,52.26,38.86,,,,,,,48.55,46.56,55.81,50.45,53.87,54.57,43.36,47.17,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 100s transcribed therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jan part estimated from another gauge so removed along with total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
