"DOUGLAS BOROUGH CEMETERY",,,,,,,,,,,,
Grid ref,SC382775,Long,-4.480001,Lat,54.167721,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.77,,
February,,,,,,,,,,1.96,,
March,,,,,,,,,,4.12,,
April,,,,,,,,,,3.43,,
May,,,,,,,,,,1.47,,
June,,,,,,,,,2.28,1.80,,
July,,,,,,,,,3.88,5.04,,
August,,,,,,,,,3.23,2.56,,
September,,,,,,,,,4.46,2.97,,
October,,,,,,,,,1.93,8.38,,
November,,,,,,,,,2.96,1.25,,
December,,,,,,,,,4.96,7.24,,
Total,,,,,,,,,,41.99,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.70,41.99,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
